"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Paleoarchaean","3504",NULL,"Ma"
"Paleoarchaean","3505",NULL,"Ma"
"Paleoarchaean","3506",NULL,"Ma"
"Paleoarchaean","3507",NULL,"Ma"
"Paleoarchaean","3508",NULL,"Ma"
"Paleoarchaean","3509",NULL,"Ma"
"Paleoarchaean","3510",NULL,"Ma"
"Paleoarchaean","3511",NULL,"Ma"
"Paleoarchaean","3512",NULL,"Ma"
"Paleoarchaean","3513",NULL,"Ma"
"Paleoarchaean","3514",NULL,"Ma"
"Paleoarchaean","3515",NULL,"Ma"
"Paleoarchaean","3516",NULL,"Ma"
"Paleoarchaean","3517",NULL,"Ma"
"Paleoarchaean","3518",NULL,"Ma"
"Paleoarchaean","3519",NULL,"Ma"
"Paleoarchaean","3520",NULL,"Ma"
"Paleoarchaean","3521",NULL,"Ma"
"Paleoarchaean","3522",NULL,"Ma"
"Paleoarchaean","3523",NULL,"Ma"
"Paleoarchaean","3524",NULL,"Ma"
"Paleoarchaean","3525",NULL,"Ma"
"Paleoarchaean","3526",NULL,"Ma"
"Paleoarchaean","3527",NULL,"Ma"
"Paleoarchaean","3528",NULL,"Ma"
"Paleoarchaean","3529",NULL,"Ma"
"Paleoarchaean","3530",NULL,"Ma"
"Paleoarchaean","3531",NULL,"Ma"
"Paleoarchaean","3532",NULL,"Ma"
"Paleoarchaean","3533",NULL,"Ma"
"Paleoarchaean","3534",NULL,"Ma"
"Paleoarchaean","3535",NULL,"Ma"
"Paleoarchaean","3536",NULL,"Ma"
"Paleoarchaean","3537",NULL,"Ma"
"Paleoarchaean","3538",NULL,"Ma"
"Paleoarchaean","3539",NULL,"Ma"
"Paleoarchaean","3540",NULL,"Ma"
"Paleoarchaean","3541",NULL,"Ma"
"Paleoarchaean","3542",NULL,"Ma"
"Paleoarchaean",NULL,NULL,NULL
"Paleoarchean","3260","3300","million years (Ma)"
"Paleoarchean","3260",NULL,"Ma"
"Paleoarchean",NULL,"3260","Ma"
"Paleocdene",NULL,NULL,NULL
"Paleocene","56","65","million years (Ma)"
"Paleocene","56.5","65","million years (Ma)"
"Paleocene",NULL,NULL,NULL
"Paleocene-Eocene",NULL,NULL,NULL
"Paleocene-lower Eocene",NULL,NULL,NULL
"Paleocene (uncertain)",NULL,NULL,NULL
"Paleocene(uncertain)",NULL,NULL,NULL
"Paleocene(uncertain) inferred",NULL,NULL,NULL
"Paleocene/Eocene",NULL,NULL,NULL
"Paleogene","25","33","million years (Ma)"
"Paleogene","26","40","million years (Ma)"
"Paleogene","40","60",NULL
"Paleogene","41","44",NULL
"Paleogene","44","46","Ma"
"Paleogene","50","60",NULL
"Paleogene","52","57","Ma"
"Paleogene","53","57","Ma"
"Paleogene","53","58","Ma"
"Paleogene","54","57","Ma"
"Paleogene","55","57","Ma"
"Paleogene","55","60",NULL
"Paleogene","58.5","61.5",NULL
"Paleogene",NULL,NULL,NULL
"Paleogene-Oligocene?",NULL,NULL,NULL
"Paleogene > Eocene",NULL,NULL,NULL
"Paleogene > Eocene > Lower/Early",NULL,NULL,NULL
"Paleogene > Eocene to Paleogene > Oligocene",NULL,NULL,NULL
"Paleogene > Oligocene",NULL,NULL,NULL
"Paleogene > Oligocene > Upper/Late",NULL,NULL,NULL
"Paleogene > Oligocene to Neogene > Miocene",NULL,NULL,NULL
"Paleogene > Paleocene",NULL,NULL,NULL
"Paleogene > Paleocene to Cretaceous > Upper/Late > Maastrichtian",NULL,NULL,NULL
"Paleogene > Paleocene to Paleogene > Eocene",NULL,NULL,NULL
"Paleoproterozoic",NULL,NULL,NULL
"Paleozoic","251","542","Ma"
"Paleozoic",NULL,NULL,NULL
"Paleozoic ",NULL,NULL,NULL
"Paleozoic > Cambrian",NULL,NULL,NULL
"Paleozoic > Permian",NULL,NULL,NULL
"Paleozoic>Cambrian","488","542","Ma"
"Paleozoic>Cambrian>Terreneuvian","521","542","Ma"
"Paleozoic>Carboniferous","299","359","Ma"
"Paleozoic>Carboniferous>Mississippian","318","359","Ma"
"Paleozoic>Carboniferous>Mississippian>Tournaisian","345","359","Ma"
"Paleozoic>Carboniferous>Mississippian>Visean","326","345","Ma"
"Paleozoic>Carboniferous>Pennsylvanian","299","318","Ma"
"Paleozoic>Devonian","359","416","Ma"
"Paleozoic>Devonian>Early Devonian","398","416","Ma"
"Paleozoic>Devonian>Late Devonian","359","385","Ma"
"Paleozoic>Devonian>Late Devonian>Famennian","359","374","Ma"
"Paleozoic>Devonian>Middle Devonian","385","398","Ma"
"Paleozoic>Ordovician","444","488","Ma"
"Paleozoic>Ordovician>Early Ordovician","472","488","Ma"
"Paleozoic>Ordovician>Late Ordovician","444","461","Ma"
"Paleozoic>Ordovician>Middle Ordovician","461","472","Ma"
"Paleozoic>Permian","251","299","Ma"
"Paleozoic>Permian>Early Permian>Artinskian","276","284","Ma"
"Paleozoic>Permian>Early Permian>Kungurian","271","276","Ma"
"Paleozoic>Permian>Middle Permian","260","271","Ma"
"Paleozoic>Silurian","416","444","Ma"
"Paleozoic>Silurian>Early Silurian","428","444","Ma"
"Paleozoic>Silurian>Late Silurian","416","423","Ma"
"Penn",NULL,NULL,NULL
"Penn, Desmoinesian",NULL,NULL,NULL
"Pennsylvanian",NULL,NULL,NULL
"Pennsylvanian ",NULL,NULL,NULL
"Pennsylvanian > Lower/Early",NULL,NULL,NULL
"Pennsylvanian to Permian",NULL,NULL,NULL
"Pennsylvanian, Bolsovian",NULL,NULL,NULL
"Pennsylvanian, Duckmantian",NULL,NULL,NULL
"Pennsylvanian, Langsettian",NULL,NULL,NULL
"Pennsylvanian/Mississippian",NULL,NULL,NULL
"Permian","290","305","million years (Ma)"
"Permian",NULL,NULL,NULL
"Permian-Jurassic",NULL,NULL,NULL
"Permian > Upper/Late",NULL,NULL,NULL
"Permian and/or Triassic?",NULL,NULL,NULL
"Permian met'm",NULL,NULL,NULL
"Permian met?",NULL,NULL,NULL
"Permian or Jurassic met.?",NULL,NULL,NULL
"Permian to Jurassic",NULL,NULL,NULL
"Permian to Pennsylvanian",NULL,NULL,NULL
"Permian to Triassic",NULL,NULL,NULL
"Permian, Capitanian",NULL,NULL,NULL
"Permian, Changhsingian",NULL,NULL,NULL
"Permian, Lower",NULL,NULL,NULL
"Permian?",NULL,NULL,NULL
"Permo-Carboniferous","294","307","million years (Ma)"
"Permo-Triassic",NULL,"255",NULL
"Permo-Triassic ",NULL,NULL,NULL
"Permo-triassic; alpine metamorphism",NULL,NULL,NULL
"Permo–Carboniferous",NULL,"465","million years (Ma)"
"Phanerozoic>Cenozoic>Miocene",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Cretaceous","65","65",NULL
"Phanerozoic>Mesozoic>Cretaceous",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Cretaceous>Danian",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Cretaceous>Maastrichtian",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Devonian>Famennian",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Devonian>Frasnian",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Jurassic",NULL,NULL,NULL
"Phanerozoic>Mesozoic>Paleogene>Maastrichtian",NULL,NULL,NULL
"Phanerozoic>Paleogene>Miocene",NULL,NULL,NULL
"Phanerozoic>Paleozoic>Devonian>Famennian",NULL,NULL,NULL
"Phanerozoic>Paleozoic>Devonian>Frasnian",NULL,NULL,NULL
"Phanerozoic>Paleozoic>Ordovician",NULL,NULL,NULL
"Pleistocene","0.01","1.64","million years (Ma)"
"Pleistocene","0.68",NULL,NULL
"Pleistocene","0.76","0.78",NULL
"Pleistocene","0.88","1.18","Ma"
"Pleistocene","1.1","1.4","Ma"
"Pleistocene","1.1","1.4","million years (Ma)"
"Pleistocene","1.18","1.2","Ma"
"Pleistocene","1.18","1.2","million years (Ma)"
"Pleistocene","1.18","1.2",NULL
"Pleistocene","1.59","1.93",NULL
"Pleistocene","2.1","2.3","Ma"
"Pleistocene","2.1","2.3",NULL
"Pleistocene","35","39","ka"
"Pleistocene","49","53","ka"
"Pleistocene","51.34504","51.34504","kyr"
"Pleistocene","52.88355","52.88355","kyr"
"Pleistocene","85.64122","85.64122","kyr"
"Pleistocene","100.0305","100.0305","kyr"
"Pleistocene","111.6742","111.6742","kyr"
"Pleistocene","130.5756","130.5756","kyr"
"Pleistocene","141","147","ka"
"Pleistocene","176.9575","176.9575","kyr"
"Pleistocene","178.2885","178.2885","kyr"
"Pleistocene","200.2992","200.2992","kyr"
"Pleistocene","228.8614","228.8614","kyr"
"Pleistocene","234.4763","234.4763","kyr"
"Pleistocene","274.7958","274.7958","kyr"
"Pleistocene","276.9496","276.9496","kyr"
"Pleistocene","285.7499","285.7499","kyr"
"Pleistocene","286.4981","286.4981","kyr"
"Pleistocene","288.858","288.858","kyr"
"Pleistocene","289.632","289.632","kyr"
"Pleistocene","304.627","304.627","kyr"
"Pleistocene","304.8153","304.8153","kyr"
"Pleistocene","312.516","312.516","kyr"
"Pleistocene","316.6938","316.6938","kyr"
"Pleistocene","317.6146","317.6146","kyr"
"Pleistocene","321.3747","321.3747","kyr"
"Pleistocene","322.3206","322.3206","kyr"
"Pleistocene","327.3221","327.3221","kyr"
"Pleistocene","328.2748","328.2748","kyr"
"Pleistocene","331.7481","331.7481","kyr"
"Pleistocene","346.525","346.525","kyr"
"Pleistocene","355.1878","355.1878","kyr"
"Pleistocene","357.9778","357.9778","kyr"
"Pleistocene","365.171","365.171","kyr"
"Pleistocene","370.5434","370.5434","kyr"
"Pleistocene","373.5553","373.5553","kyr"
"Pleistocene","375.9283","375.9283","kyr"
"Pleistocene","378.429","378.429","kyr"
"Pleistocene","383.6845","383.6845","kyr"
"Pleistocene","386.5069","386.5069","kyr"
"Pleistocene","396.6885","396.6885","kyr"
"Pleistocene","410.8","410.8","kyr"
"Pleistocene","440.4916","440.4916","kyr"
"Pleistocene","448.2717","448.2717","kyr"
"Pleistocene","477.5016","477.5016","kyr"
"Pleistocene","492.477",NULL,"ka"
"Pleistocene","494.4168","494.4168","kyr"
"Pleistocene","509.4885","509.4885","kyr"
"Pleistocene","514.0657","514.0657","kyr"
"Pleistocene","545.4443","545.4443","kyr"
"Pleistocene","550.9464","550.9464","kyr"
"Pleistocene","553.3435","553.3435","kyr"
"Pleistocene","577.335",NULL,NULL
"Pleistocene","644.483","644.483","kyr"
"Pleistocene","672.8207","672.8207","kyr"
"Pleistocene","739.6271","739.6271","kyr"
"Pleistocene","748.9389","748.9389","kyr"
"Pleistocene","818.6991","818.6991","kyr"
"Pleistocene","820.6492","820.6492","kyr"
"Pleistocene","838.1461","838.1461","kyr"
"Pleistocene","839.5471","839.5471","kyr"
"Pleistocene","862.1107","862.1107","kyr"
"Pleistocene","943.5887","943.5887","kyr"
"Pleistocene","949.8242","949.8242","kyr"
"Pleistocene","1026.68","1026.68","kyr"
"Pleistocene","1048.366","1048.366","kyr"
"Pleistocene","1061.042","1061.042","kyr"
"Pleistocene","1061.47","1061.47","kyr"
"Pleistocene","1103.594","1103.594","kyr"
"Pleistocene","1104.439","1104.439","kyr"
"Pleistocene","1147.601","1147.601","kyr"
"Pleistocene","1152.702","1152.702","kyr"
"Pleistocene","1263.82","1263.82","kyr"
"Pleistocene","1284.022","1284.022","kyr"
"Pleistocene","1284.236","1284.236","kyr"
"Pleistocene","1336.183","1336.183","kyr"
"Pleistocene","1384.014","1384.014","kyr"
"Pleistocene","1386.159","1386.159","kyr"
"Pleistocene","1394.368","1394.368","kyr"
"Pleistocene","1396.402","1396.402","kyr"
"Pleistocene","1398.743","1398.743","kyr"
"Pleistocene","1487.359","1487.359","kyr"
"Pleistocene","1487.553","1487.553","kyr"
"Pleistocene","1510.883","1510.883","kyr"
"Pleistocene","1571.737","1571.737","kyr"
"Pleistocene","1575.052","1575.052","kyr"
"Pleistocene","1587.387","1587.387","kyr"
"Pleistocene","1590.171","1590.171","kyr"
"Pleistocene","1593.791","1593.791","kyr"
"Pleistocene","1596.773","1596.773","kyr"
"Pleistocene","1599.498","1599.498","kyr"
"Pleistocene","1602.598","1602.598","kyr"
"Pleistocene","1635.557","1635.557","kyr"
"Pleistocene","1637.052","1637.052","kyr"
"Pleistocene","1640.043","1640.043","kyr"
"Pleistocene","1647.643","1647.643","kyr"
"Pleistocene","1651.56","1651.56","kyr"
"Pleistocene","1704.211","1704.211","kyr"
"Pleistocene","1707.096","1707.096","kyr"
"Pleistocene","1707.875","1707.875","kyr"
"Pleistocene","1710.267","1710.267","kyr"
"Pleistocene","1719.69","1719.69","kyr"
"Pleistocene","1720.683","1720.683","kyr"
"Pleistocene","1737.045","1737.045","kyr"
"Pleistocene","1737.38","1737.38","kyr"
"Pleistocene","1789.65","1789.65","kyr"
"Pleistocene","1797.286","1797.286","kyr"
"Pleistocene","1836.594","1836.594","kyr"
"Pleistocene","1842.667","1842.667","kyr"
"Pleistocene","1853.194","1853.194","kyr"
"Pleistocene","1858.023","1858.023","kyr"
"Pleistocene","1875.965","1875.965","kyr"
"Pleistocene","1880.733","1880.733","kyr"
"Pleistocene","1939.687","1939.687","kyr"
"Pleistocene","1940.523","1940.523","kyr"
"Pleistocene","1968.742","1968.742","kyr"
"Pleistocene","1970.63","1970.63","kyr"
"Pleistocene","1977.796","1977.796","kyr"
"Pleistocene","1981.171","1981.171","kyr"
"Pleistocene","1984.223","1984.223","kyr"
"Pleistocene","1988.45","1988.45","kyr"
"Pleistocene","2060.085","2060.085","kyr"
"Pleistocene","2065.895","2065.895","kyr"
"Pleistocene","2070.282","2070.282","kyr"
"Pleistocene","2075.228","2075.228","kyr"
"Pleistocene","2081.407","2081.407","kyr"
"Pleistocene","2099.947","2099.947","kyr"
"Pleistocene","2103.016","2103.016","kyr"
"Pleistocene","2124.668","2124.668","kyr"
"Pleistocene","2125.216","2125.216","kyr"
"Pleistocene","2178.044","2178.044","kyr"
"Pleistocene","2501.654","2501.654","kyr"
"Pleistocene","2503.748","2503.748","kyr"
"Pleistocene","2507.484","2507.484","kyr"
"Pleistocene","2510.552","2510.552","kyr"
"Pleistocene","2616.763","2616.763","kyr"
"Pleistocene","2873.903","2873.903","kyr"
"Pleistocene","3694.748","3694.748","kyr"
"Pleistocene","3742.986","3742.986","kyr"
"Pleistocene","3779.872","3779.872","kyr"
"Pleistocene","3902.361","3902.361","kyr"
"Pleistocene","4105.961","4105.961","kyr"
"Pleistocene","4211.801","4211.801","kyr"
"Pleistocene","50000","60000","years"
"Pleistocene","50000","100000","years"
"Pleistocene","80000","130000","years"
"Pleistocene","577335",NULL,"years"
"Pleistocene",NULL,"65","Ka"
"Pleistocene",NULL,"135","ka"
"Pleistocene",NULL,"137","Ka"
"Pleistocene",NULL,"194","Ka"
"Pleistocene",NULL,"226","Ka"
"Pleistocene",NULL,NULL,NULL
"Pleistocene-Holocene","0","2.6","Ma"
"Pleistocene-Holocene",NULL,NULL,NULL
"Pleistocene-Q1dd1",NULL,NULL,NULL
"Pleistocene ",NULL,NULL,NULL
"Pleistocene (Eemian)",NULL,NULL,NULL
"Pleistocene (uncertain)",NULL,NULL,NULL
"Pleistocene and Holocene","0","63000","years"
"Pleistocene and Holocene","0","70000","years"
"Pleistocene and Holocene","0","72000","years"
"Pleistocene and Holocene","0","74000","years"
"Pleistocene(uncertain)",NULL,NULL,NULL
"Plio-Pleistocene","0.01","5.2","million years (Ma)"
"Plio-Pleistocene",NULL,NULL,NULL
"Plio-Quaternary",NULL,NULL,NULL
"Pliocene","1.64","5.2","million years (Ma)"
"Pliocene","2","2.04",NULL
"Pliocene","2.16","2.2",NULL
"Pliocene","2.37","2.43","Ma"
"Pliocene","2.6","5.3","Ma"
"Pliocene","2.677","2.835","Ma"
"Pliocene","2.73","3.4","Ma"
"Pliocene","2.733","2.775","Ma"
"Pliocene","2.74","3.58","Ma"
"Pliocene","2.913","2.937","Ma"
"Pliocene","2.977","2.995","Ma"
"Pliocene","3.828","4.004","Ma"
"Pliocene","3.86","3.95",NULL
"Pliocene","3.86","4","Ma"
"Pliocene","4.16","4.28",NULL
"Pliocene","4.2","4.7","Ma"
"Pliocene","4.2","4.7",NULL
"Pliocene","4.28","4.87","Ma"
"Pliocene","4.4","5.1","Ma"
"Pliocene","4.8","5.28","Ma"
"Pliocene","1050.274","1050.274","kyr"
"Pliocene","2986.209","2986.209","kyr"
"Pliocene","3144.047","3144.047","kyr"
"Pliocene","3483.438","3483.438","kyr"
"Pliocene","3743.873","3743.873","kyr"
"Pliocene","3787.73","3787.73","kyr"
"Pliocene",NULL,"4.22",NULL
"Pliocene",NULL,"4.7","million years (Ma)"
"Pliocene",NULL,NULL,NULL
"Pliocene-Miocene","4.7","5.02","Ma"
"Pliocene-Pleist",NULL,NULL,NULL
"Pliocene-pleistocene",NULL,NULL,NULL
"Pliocene-Pleistocene",NULL,NULL,NULL
"Pliocene-Quaternary",NULL,NULL,NULL
"Pliocene (uncertain)",NULL,NULL,NULL
"Pliocene early",NULL,NULL,NULL
"Pliocene(uncertain)",NULL,NULL,NULL
"Pliocene?",NULL,NULL,NULL
"Portlandian",NULL,NULL,NULL
"Pragian","404","410.8","Ma"
"Pragian","415","419.2","Ma"
"Pragian",NULL,NULL,NULL
"Precambrian","542","4600","Ma"
"Precambrian",NULL,"504",NULL
"Precambrian",NULL,"561",NULL
"Precambrian",NULL,"596",NULL
"Precambrian",NULL,NULL,NULL
"Precambrian-?Paleoproterozoic",NULL,NULL,NULL
"Precambrian Era",NULL,NULL,NULL
"Precambrian to Ordovician",NULL,NULL,NULL
"Precambrian, Keweenawan",NULL,NULL,NULL
"Precambrian?",NULL,NULL,NULL
"Precambrian>Archean","2500","3850","Ma"
"Precambrian>Archean>Neoarchean","2500","2800","Ma"
"Precambrian>Proterozoic","542","2500","Ma"
"Precambrian>Proterozoic>Mesoproterozoic","1000","1600","Ma"
"Precambrian>Proterozoic>Mesoproterozoic>Calymmian","1400","1600","Ma"
"Precambrian>Proterozoic>Mesoproterozoic>Stenian","1000","1200","Ma"
"Precambrian>Proterozoic>Neoproterozoic","542","1000","Ma"
"Precambrian>Proterozoic>Neoproterozoic>Cryogenian","630","850","Ma"
"Precambrian>Proterozoic>Neoproterozoic>Ediacaran","542","630","Ma"
"Precambrian>Proterozoic>Paleoproterozoic","1600","2500","Ma"
"Precambrian>Proterozoic>Paleoproterozoic>Orosirian","1800","2050","Ma"
"Precambrian>Proterozoic>Paleoproterozoic>Rhyacian","2050","2300","Ma"
"Precambrian>Proterozoic>Paleoproterozoic>Siderian","2300","2500","Ma"
"Precambrian>Proterozoic>Paleoproterozoic>Statherian","1600","1800","Ma"
"Priabonian–Chattian",NULL,NULL,NULL
"Pridoli","419.2","423","Ma"
"Proterozoic","1.7","1.7","Ga"
"Proterozoic","541","2500","million years (Ma)"
"Proterozoic",NULL,NULL,NULL
"PROTEROZOIC","541","2500","Ma"
"Proterozoic - mid",NULL,NULL,NULL
"Ptz-Cambrian",NULL,NULL,NULL
"q",NULL,NULL,NULL
"Quarternary",NULL,NULL,NULL
"Quarternary/Triassic",NULL,NULL,NULL
"Quaternary","0","2","Ma"
"Quaternary","0","2","million years (Ma)"
"Quaternary","0","100000","years"
"Quaternary","0",NULL,NULL
"Quaternary","0.00143","0.00151",NULL
"Quaternary","0.00321","0.00337",NULL
"Quaternary","0.00385","0.00409",NULL
"Quaternary","0.00836","0.00876",NULL
"Quaternary","0.01372","0.01542",NULL
"Quaternary","0.01455","0.01653",NULL
"Quaternary","0.02","0.021","Million years (Ma)"
"Quaternary","0.02826","0.0298",NULL
"Quaternary","0.03993","0.04061",NULL
"Quaternary","0.09902","0.1052",NULL
"Quaternary","0.10763","0.11127",NULL
"Quaternary","0.13077","0.13655",NULL
"Quaternary","0.1313","0.13942",NULL
"Quaternary","0.1531","0.16068",NULL
"Quaternary","0.15493","0.16259",NULL
"Quaternary","0.15508","0.1627",NULL
"Quaternary","0.15568","0.16374",NULL
"Quaternary","0.16671","0.17781",NULL
"Quaternary","0.16922","0.17966",NULL
"Quaternary","0.17588","0.18416",NULL
"Quaternary","0.22321","0.23453",NULL
"Quaternary","0.22466","0.2372",NULL
"Quaternary","0.23448","0.24738",NULL
"Quaternary","0.23458","0.2474",NULL
"Quaternary","0.23505","0.24741",NULL
"Quaternary","0.26576","0.27552",NULL
"Quaternary","0.34594","0.36092","Ma"
"Quaternary","0.34812","0.3634","Ma"
"Quaternary","0.35361","0.36289","Ma"
"Quaternary","0.39242","0.40432","Ma"
"Quaternary","0.41158","0.41792","Ma"
"Quaternary","0.41293","0.42133","Ma"
"Quaternary","0.4143499999999999","0.42517","Ma"
"Quaternary","0.4175","0.43036","Ma"
"Quaternary","0.45101","0.45689","Ma"
"Quaternary","0.45289","0.45949","Ma"
"Quaternary","0.47365","0.48733","Ma"
"Quaternary","0.48675","0.49459","Ma"
"Quaternary","0.48962","0.49848","Ma"
"Quaternary","0.50453","0.5128100000000001","Ma"
"Quaternary","0.5097999999999999","0.51854","Ma"
"Quaternary","0.5114","0.52234","Ma"
"Quaternary","0.52751","0.5342100000000001","Ma"
"Quaternary","0.6228899999999999","0.63085","Ma"
"Quaternary","0.6417999999999999","0.6553199999999999","Ma"
"Quaternary","0.65539","0.6697099999999999","Ma"
"Quaternary","0.6683000000000001","0.68016","Ma"
"Quaternary","0.6763899999999999","0.6853100000000001","Ma"
"Quaternary","0.71196","0.7215199999999999","Ma"
"Quaternary","0.72856","0.7402799999999999","Ma"
"Quaternary","0.77137","0.78165","Ma"
"Quaternary","0.7862199999999999","0.79312","Ma"
"Quaternary","0.8829","0.8934599999999999","Ma"
"Quaternary","0.97314","0.9855200000000001","Ma"
"Quaternary","1.10632","1.12104",NULL
"Quaternary","1.12831","1.13685",NULL
"Quaternary","1.20235","1.21145",NULL
"Quaternary","1.21509","1.22807",NULL
"Quaternary","8.7","29.7","Ka"
"Quaternary","10","15","million years (Ma)"
"Quaternary","52","76","Ka"
"Quaternary","70","640","ka"
"Quaternary","70","640",NULL
"Quaternary","111.5","162.1","Ka"
"Quaternary","118.962","120.984","ka"
"Quaternary","119.021","121.045","ka"
"Quaternary","120.111","122.166","ka"
"Quaternary","120.371","121.334","ka"
"Quaternary","121.22","123.305","ka"
"Quaternary","122.429","124.548","ka"
"Quaternary","124.171","126.341","ka"
"Quaternary","124.432","126.611","ka"
"Quaternary","130","130","years"
"Quaternary","200","1000","years"
"Quaternary","260.7","319.3","Ka"
"Quaternary","283.8","324","Ka"
"Quaternary","380.3","401.5","Ka"
"Quaternary","393","413","1000 yrs"
"Quaternary","452.8","477.6","Ka"
"Quaternary","528.1","561.5","Ka"
"Quaternary","530.1","713.9","Ka"
"Quaternary","1047.4","1091.6","Ka"
"Quaternary","70000","640000","years"
"Quaternary","119996.43121754","122136.28978463","ka"
"Quaternary",NULL,NULL,NULL
"Quaternary-Cretaceous",NULL,NULL,NULL
"Quaternary-Holocene",NULL,"69","kyrs"
"Quaternary-Holocene",NULL,"70","kyrs"
"Quaternary-Holocene",NULL,"75","kyrs"
"Quaternary-Teriary",NULL,NULL,NULL
"Quaternary-Tertiary",NULL,NULL,NULL
"Quaternary-Tertiary-Cretaceous",NULL,NULL,NULL
"Quaternary > Holocene",NULL,NULL,NULL
"Quaternary > Pleistocene",NULL,NULL,NULL
"Quaternary > Pleistocene to Quaternary > Holocene",NULL,NULL,NULL
"Quaternary/Holocene",NULL,NULL,NULL
"Quaternary/Triassic",NULL,NULL,NULL
"Quaternary: MIS 5.5",NULL,NULL,NULL
"Quaternary; MIS 5.5",NULL,NULL,NULL
"recent",NULL,NULL,NULL
"Recent","0","0","Ma"
"Recent",NULL,NULL,NULL
"reworked Oligocene in Miocene-Pliocene",NULL,NULL,NULL
"Rhuddanian","440.8","443.8","Ma"
"Rupelian","29","30","million years (Ma)"
"Rupelian",NULL,NULL,NULL
"Sandbian","453","458.4","Ma"
"Sandbian",NULL,NULL,NULL
"Santonian",NULL,NULL,NULL
"Santonian-Campanian",NULL,NULL,NULL
"Saxonian",NULL,NULL,NULL
"Sheinwoodian","430.5","433.4","Ma"
"should be Pleistocene",NULL,NULL,NULL
"Silurian","426","429","million years (Ma)"
"Silurian",NULL,NULL,NULL
"Silurian-Devonian?",NULL,NULL,NULL
"Silurian > Mid/Late",NULL,NULL,NULL
"Silurian maybe?",NULL,NULL,NULL
"Silurian to Devonian",NULL,NULL,NULL
"Silurian?",NULL,NULL,NULL
"Snowbird Tectonic Zone",NULL,NULL,NULL
"Stenian",NULL,NULL,NULL
"Stephanian A/Westphalian D",NULL,NULL,NULL
"Stephanian B",NULL,NULL,NULL
"Sub-fossil",NULL,NULL,NULL
"SUP ORDOVICIAN",NULL,NULL,NULL
"Telychian","433.4","438.5","Ma"
"Tertiary",NULL,NULL,NULL
"Tertiary-Quarternary",NULL,NULL,NULL
"Tertiary-Quaternary",NULL,NULL,NULL
"Tertiary (?)",NULL,NULL,NULL
"Tertiary Undiff",NULL,NULL,NULL
"Tertiary: Miocene",NULL,NULL,NULL
"Tithonian",NULL,NULL,NULL
"Tithonian ",NULL,NULL,NULL
"Tonian",NULL,"735","million years (Ma)"
"Tonian",NULL,NULL,NULL
"Tonian? To Ediacaran? ",NULL,NULL,NULL
"Tournaisian-Visean (Early Carboniferous)",NULL,"373.6","million years (Ma)"
"Tremadocian","477.7","478","Ma"
"Tremadocian","478","478.5","Ma"
"Tremadocian","478.5","480","Ma"
"Tremadocian","480","481.7","Ma"
"Tremadocian","481.7","482","Ma"
"Tremadocian","482","484.4","Ma"
"Tremadocian","484.4","485","Ma"
"Tremadocian","485","485.4","Ma"
"Triassic","201","250","million years (Ma)"
"Triassic","201","252","million years (Ma)"
"Triassic","214","216","Ma"
"Triassic","216","218","Ma"
"Triassic","218","218","million years (Ma)"
"Triassic","218","220","Ma"
"Triassic",NULL,"216",NULL
"Triassic",NULL,"217",NULL
"Triassic",NULL,"220",NULL
"Triassic",NULL,"225",NULL
"Triassic",NULL,"230",NULL
"Triassic",NULL,"247",NULL
"Triassic",NULL,"265",NULL
"Triassic",NULL,NULL,NULL
"Triassic-Jurassic",NULL,NULL,NULL
"Triassic ",NULL,NULL,NULL
"Triassic > Upper/Late",NULL,NULL,NULL
"Triassic to Cretaceous",NULL,NULL,NULL
"Triassic to Jurassic",NULL,NULL,NULL
"Triassic, Induan/Olenikian",NULL,NULL,NULL
"Triassic, Norian",NULL,NULL,NULL
"Triassic, Rhaetian",NULL,NULL,NULL
"Triassic/Jurassic","180","205","million years (Ma)"
"Triassic?",NULL,NULL,NULL
"Turonian",NULL,NULL,NULL
"Turonian-Santonian",NULL,NULL,NULL
"unknown",NULL,NULL,NULL
"Unknown","0","10","million years (Ma)"
"Unknown",NULL,NULL,NULL
"Up. Lutetian-Low. Bartonian",NULL,NULL,NULL
"Upper Aptian",NULL,NULL,NULL
"Upper Aptian ",NULL,NULL,NULL
"Upper Aquitanian-Burdigalian",NULL,NULL,NULL
"upper Bart-Priabonian",NULL,NULL,NULL
"Upper Bartonian-Priabonian",NULL,NULL,NULL
"Upper Camp-Maastrichtian",NULL,NULL,NULL
"Upper Camp.-Maastrichtian",NULL,NULL,NULL
"Upper Cretaceous","95.3","97.5","Ma"
"Upper Cretaceous",NULL,NULL,NULL
"Upper Cretaceous?",NULL,NULL,NULL
"Upper Devonian",NULL,NULL,NULL
"upper Eocene",NULL,NULL,NULL
"Upper Famennian",NULL,NULL,NULL
"Upper Jurassic","152.2","166","Ma"
"Upper Jurassic","155.9","160.9","Ma"
"Upper Jurassic","157.9","162.3","Ma"
"Upper Jurassic",NULL,NULL,NULL
"upper Miocene",NULL,NULL,NULL
