"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Cretaceous","99.4","101.6",NULL
"Cretaceous","99.42","100.08",NULL
"Cretaceous","99.5","102.7",NULL
"Cretaceous","99.8","102",NULL
"Cretaceous","100","102","Ma"
"Cretaceous","100","102",NULL
"Cretaceous","100","104","Ma"
"Cretaceous","100","108","million years (Ma)"
"Cretaceous","100.4","102.6",NULL
"Cretaceous","100.6","102.8",NULL
"Cretaceous","100.9","103.5",NULL
"Cretaceous","101.2","92.4",NULL
"Cretaceous","101.2","102.6",NULL
"Cretaceous","101.45","102.87",NULL
"Cretaceous","101.5","103.5","million years (Ma)"
"Cretaceous","101.8","104.6",NULL
"Cretaceous","102","102.8",NULL
"Cretaceous","102.1","103",NULL
"Cretaceous","102.2","103.1","Ma"
"Cretaceous","103","105","Ma"
"Cretaceous","104","105","Ma"
"Cretaceous","104","108","million years (Ma)"
"Cretaceous","105.2","102.63",NULL
"Cretaceous","105.2","107.6",NULL
"Cretaceous","108","110","million years (Ma)"
"Cretaceous","108.5","110.5","Ma"
"Cretaceous","109","111","Ma"
"Cretaceous","110","112","Ma"
"Cretaceous","111","111","million years (Ma)"
"Cretaceous","111.6","114.2","Ma"
"Cretaceous","115.5","119.3","Ma"
"Cretaceous","115.7","118.1","Ma"
"Cretaceous","115.8","119.2",NULL
"Cretaceous","116.4","119.6","Ma"
"Cretaceous","117","118","Ma"
"Cretaceous","118","120.4",NULL
"Cretaceous","119","120","Ma"
"Cretaceous","119.8","125.8","Ma"
"Cretaceous","122.5","125.5","Ma"
"Cretaceous",NULL,"138.8","Ma"
"Cretaceous",NULL,"139.6","Ma"
"Cretaceous",NULL,"139.7","Ma"
"Cretaceous",NULL,"140","Ma"
"Cretaceous",NULL,"141.7","Ma"
"Cretaceous",NULL,"141.8","Ma"
"Cretaceous",NULL,"145.8","Ma"
"Cretaceous",NULL,NULL,NULL
"Cretaceous ","86.7","89.6","Ma"
"Cretaceous ","86.7","89.6","million years (Ma)"
"Cretaceous ",NULL,NULL,NULL
"Cretaceous - Barremian/Aptian",NULL,NULL,NULL
"Cretaceous - Tertiary",NULL,NULL,NULL
"Cretaceous (turbidites)",NULL,NULL,NULL
"Cretaceous (uncertain)",NULL,NULL,NULL
"Cretaceous (uncertain) Reworked (uncertain)",NULL,NULL,NULL
"Cretaceous > Lower/Early",NULL,NULL,NULL
"Cretaceous > Lower/Early > Albian",NULL,NULL,NULL
"Cretaceous > Lower/Early > Albian to Cretaceous > Upper/Late > Cenomanian",NULL,NULL,NULL
"Cretaceous > Lower/Early > Aptian",NULL,NULL,NULL
"Cretaceous > Lower/Early > Aptian to Cretaceous > Upper/Late > Cenomanian",NULL,NULL,NULL
"Cretaceous > Lower/Early to Neogene > Miocene",NULL,NULL,NULL
"Cretaceous > Upper/Late",NULL,NULL,NULL
