"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
2,NULL,NULL,NULL,"3423.48",NULL,NULL
2,NULL,NULL,NULL,"140.21","940.31",NULL
2,NULL,NULL,NULL,"131.37","534.62",NULL
2,NULL,NULL,NULL,"146","899.16",NULL
2,NULL,NULL,NULL,"207.26","621.79",NULL
1,NULL,NULL,NULL,"-16.7",NULL,NULL
2,NULL,NULL,NULL,"185.32","883.92",NULL
2,NULL,NULL,NULL,"110.64","749.81",NULL
2,NULL,NULL,NULL,"164","-1896","MSL"
2,"230","240","cm",NULL,NULL,NULL
2,NULL,NULL,NULL,"-319.4",NULL,NULL
2,NULL,NULL,NULL,"121.92","429.77",NULL
2,NULL,NULL,NULL,"98.76","4833.21",NULL
1,NULL,NULL,NULL,"-2658.14",NULL,NULL
2,NULL,NULL,NULL,"323.3","-1816.7","MSL"
2,NULL,NULL,NULL,"187.45","434.04",NULL
2,NULL,NULL,NULL,"83.52","3535.68",NULL
2,NULL,NULL,NULL,"154.53","659.28",NULL
2,NULL,NULL,NULL,"205.13","723.9",NULL
2,NULL,NULL,NULL,"113.08","4406.19",NULL
2,NULL,NULL,NULL,"48.46","4756.4",NULL
2,NULL,NULL,NULL,"1278.93",NULL,NULL
2,NULL,NULL,NULL,"187.45","533.4",NULL
2,NULL,NULL,NULL,"146.91","832.41",NULL
2,NULL,NULL,NULL,"-5667",NULL,NULL
2,NULL,NULL,NULL,"80.47","906.78",NULL
2,NULL,NULL,NULL,"375.7","-1324.3","MSL"
2,NULL,NULL,NULL,"145.08","673",NULL
2,NULL,NULL,NULL,"452","-2170","MSL"
2,NULL,NULL,NULL,"-2799",NULL,NULL
2,NULL,NULL,NULL,"74.68","168.25",NULL
2,NULL,NULL,NULL,"-2776.9",NULL,NULL
2,NULL,NULL,NULL,"172.52","990.6",NULL
2,NULL,NULL,NULL,"146","701.95",NULL
2,NULL,NULL,NULL,"150.88","858.01",NULL
1,NULL,NULL,NULL,"2512",NULL,NULL
2,NULL,NULL,NULL,"38.4","-1698.96",NULL
2,NULL,NULL,NULL,"3.66","2745.64",NULL
2,NULL,NULL,NULL,"91.74","2078.43",NULL
2,NULL,NULL,NULL,"192.02","746.76",NULL
2,NULL,NULL,NULL,"75.59","586.74",NULL
2,NULL,NULL,NULL,"158.5","923.54",NULL
1,NULL,NULL,NULL,"-279",NULL,NULL
2,NULL,NULL,NULL,"19.51","-1037.54",NULL
2,NULL,NULL,NULL,"21.34","-3827.06",NULL
2,NULL,NULL,NULL,"75.59","1350.26",NULL
2,NULL,NULL,NULL,"149.35","731.52",NULL
1,NULL,NULL,NULL,"-2317.75",NULL,NULL
2,NULL,NULL,NULL,"30.78","3036.42",NULL
1,NULL,NULL,NULL,"-132.1",NULL,NULL
2,NULL,NULL,NULL,"98.15","4572",NULL
1,NULL,NULL,NULL,"-236",NULL,NULL
1,NULL,NULL,NULL,"-1112",NULL,NULL
1,NULL,NULL,NULL,"-2881.59",NULL,NULL
2,NULL,NULL,NULL,"179.53","604.11",NULL
1,NULL,NULL,NULL,"-958.5",NULL,NULL
2,NULL,NULL,NULL,"110","-180","MSL"
1,NULL,NULL,NULL,"-1311.68",NULL,NULL
2,NULL,NULL,NULL,"209.7","103.02",NULL
1,NULL,NULL,NULL,"-134.051373465",NULL,NULL
2,NULL,NULL,NULL,"484","-869","MSL"
2,NULL,NULL,NULL,"13.11","609.6",NULL
1,NULL,NULL,NULL,"-2321.439922",NULL,NULL
2,NULL,NULL,NULL,"42.98","-1124.71",NULL
1,NULL,NULL,NULL,"-678.56",NULL,NULL
2,NULL,NULL,NULL,"18.9","5623.56",NULL
2,NULL,NULL,NULL,"137.46","545.59",NULL
1,NULL,NULL,NULL,"-5997",NULL,NULL
2,NULL,NULL,NULL,"20.42","474.88",NULL
2,NULL,NULL,NULL,"92.05","457.2",NULL
2,NULL,NULL,NULL,"162.15","729.69",NULL
2,NULL,NULL,NULL,"133.81","792.48",NULL
2,NULL,NULL,NULL,"17.37","502.92",NULL
2,NULL,NULL,NULL,"229.2","79.19999999999999","MSL"
2,NULL,NULL,NULL,"152.1","509.02",NULL
2,NULL,NULL,NULL,"439.19",NULL,NULL
2,NULL,NULL,NULL,"144.48","522.73",NULL
2,NULL,NULL,NULL,"192.63","563.88",NULL
2,NULL,NULL,NULL,"606","516","MSL"
2,NULL,NULL,NULL,"180.14","583.69",NULL
2,NULL,NULL,NULL,"171.91","525.78",NULL
1,NULL,NULL,NULL,"-1240","-1240",NULL
2,NULL,NULL,NULL,"163.68","909.83",NULL
2,NULL,NULL,NULL,"161.54","420.62",NULL
2,NULL,NULL,NULL,"184.4","629.41",NULL
2,NULL,NULL,NULL,"113.08","-146",NULL
2,NULL,NULL,NULL,"44.5","1133.86",NULL
2,NULL,NULL,NULL,"97.54","954.02",NULL
2,NULL,NULL,NULL,"50.6","5051.15",NULL
