classification_id,material_id,classification_label,label,description,material_role_id
3901,3901,Cobalt-zippeite,Cobalt-zippeite,,
3902,3902,Cobaltaustinite,Cobaltaustinite,,
3903,3903,Cobaltite,Cobaltite,,
3904,3904,Cobaltkoritnigite,Cobaltkoritnigite,,
3905,3905,Cobaltolotharmeyerite,Cobaltolotharmeyerite,,
3906,3906,Cobaltomenite,Cobaltomenite,,
3907,3907,Cochromite,Cochromite,,
3908,3908,Coconinoite,Coconinoite,,
3909,3909,Coeruleolactite,Coeruleolactite,,
3910,3910,Coesite,Coesite,,
3911,3911,Coffinite,Coffinite,,
3912,3912,Cohenite,Cohenite,,
3913,3913,Colemanite,Colemanite,,
3914,3914,Collinsite,Collinsite,,
3915,3915,Coloradoite,Coloradoite,,
3916,3916,Colquiriite,Colquiriite,,
3917,3917,Columbite,Columbite,,
3918,3918,Colusite,Colusite,,
3919,3919,Comancheite,Comancheite,,
3920,3920,Combeite,Combeite,,
3921,3921,Comblainite,Comblainite,,
3922,3922,Compreignacite,Compreignacite,,
3923,3923,Congolite,Congolite,,
3924,3924,Conichalcite,Conichalcite,,
3925,3925,Connellite,Connellite,,
3926,3926,Consumed,Consumed,,
3927,3927,Cookeite,Cookeite,,
3928,3928,Coombsite,Coombsite,,
3929,3929,Cooperite,Cooperite,,
3930,3930,Coparsite,Coparsite,,
3931,3931,Copiapite,Copiapite,,
3932,3932,Copper,Copper,,
3933,3933,Coquandite,Coquandite,,
3934,3934,Chenite,Chenite,,
3935,3935,Cheralite,Cheralite,,
3936,3936,Coquimbite,Coquimbite,,
3937,3937,Coral,Coral,,
3938,3938,Corderoite,Corderoite,,
3939,3939,Cordierite,Cordierite,,
3940,3940,Abelsonite,Abelsonite,,
3941,3941,Abenakiite-(Ce),Abenakiite-(Ce),,
3942,3942,Abernathyite,Abernathyite,,
3943,3943,Abhurite,Abhurite,,
3944,3944,Abswurmbachite,Abswurmbachite,,
3945,3945,Acanthite,Acanthite,,
3946,3946,Acetamide,Acetamide,,
3947,3947,Actinolite,Actinolite,,
3948,3948,Acuminite,Acuminite,,
3949,3949,Adamite,Adamite,,
3950,3950,Adamsite-(Y),Adamsite-(Y),,
3951,3951,Adelite,Adelite,,
3952,3952,Admontite,Admontite,,
3953,3953,Aegirine,Aegirine,,
3954,3954,Aenigmatite,Aenigmatite,,
3955,3955,Aerinite,Aerinite,,
3956,3956,Aerugite,Aerugite,,
3957,3957,Aeschynite,Aeschynite,,
3958,3958,Aeschynite-(Ce),Aeschynite-(Ce),,
3959,3959,Aeschynite-(Nd),Aeschynite-(Nd),,
3960,3960,Aeschynite-(Y),Aeschynite-(Y),,
3961,3961,Afghanite,Afghanite,,
3962,3962,Afwillite,Afwillite,,
3963,3963,Agardite,Agardite,,
3964,3964,Agardite-(La),Agardite-(La),,
3965,3965,Agardite-(Y),Agardite-(Y),,
3966,3966,Agrellite,Agrellite,,
3967,3967,Agrinierite,Agrinierite,,
3968,3968,Aguilarite,Aguilarite,,
3969,3969,Aheylite,Aheylite,,
3970,3970,Ahlfeldite,Ahlfeldite,,
3971,3971,Aikinite,Aikinite,,
3972,3972,Ajoite,Ajoite,,
3973,3973,Akaganeite,Akaganeite,,
3974,3974,Akatoreite,Akatoreite,,
3975,3975,Akdalaite,Akdalaite,,
3976,3976,Akermanite,Akermanite,,
3977,3977,Akhtenskite,Akhtenskite,,
3978,3978,Akimotoite,Akimotoite,,
3979,3979,Akrochordite,Akrochordite,,
3980,3980,Aksaite,Aksaite,,
3981,3981,Aktashite,Aktashite,,
3982,3982,Alabandite,Alabandite,,
3983,3983,Alacranite,Alacranite,,
3984,3984,Alamosite,Alamosite,,
3985,3985,Alarsite,Alarsite,,
3986,3986,Albite,Albite,,
3987,3987,Albrechtschraufite,Albrechtschraufite,,
3988,3988,Aldermanite,Aldermanite,,
3989,3989,Aldzhanite,Aldzhanite,,
3990,3990,Aleksite,Aleksite,,
3991,3991,Alforsite,Alforsite,,
3992,3992,Algodonite,Algodonite,,
3993,3993,Aliettite,Aliettite,,
3994,3994,Allactite,Allactite,,
3995,3995,Allanite,Allanite,,
3996,3996,Allanite-(Ce),Allanite-(Ce),,
3997,3997,Allanite-(La),Allanite-(La),,
3998,3998,Allanite-(Y),Allanite-(Y),,
3999,3999,Allargentum,Allargentum,,
4000,4000,Alleghanyite,Alleghanyite,,
4001,4001,Alloclasite,Alloclasite,,
4002,4002,Allophane,Allophane,,
4003,4003,Alluaivite,Alluaivite,,
4004,4004,Alluaudite,Alluaudite,,
4005,4005,Almandine,Almandine,,
4006,4006,Alstonite,Alstonite,,
4007,4007,Altaite,Altaite,,
4008,4008,Althausite,Althausite,,
4009,4009,Althupite,Althupite,,
4010,4010,Altisite,Altisite,,
4011,4011,Alum(GeneralTerm),Alum(GeneralTerm),,
4012,4012,Aluminite,Aluminite,,
4013,4013,Aluminium,Aluminium,,
4014,4014,Aluminoceladonite,Aluminoceladonite,,
4015,4015,Aluminocopiapite,Aluminocopiapite,,
4016,4016,Aluminokatophorite,Aluminokatophorite,,
4017,4017,Aluminotschermakite,Aluminotschermakite,,
4018,4018,Aluminum,Aluminum,,
4019,4019,Alumohydrocalcite,Alumohydrocalcite,,
4020,4020,Alumoklyuchevskite,Alumoklyuchevskite,,
4021,4021,Alumopharmacosiderite,Alumopharmacosiderite,,
4022,4022,Alumotantite,Alumotantite,,
4023,4023,Alumotungstite,Alumotungstite,,
4024,4024,Alunite,Alunite,,
4025,4025,Alunogen,Alunogen,,
4026,4026,Alvanite,Alvanite,,
4027,4027,Amakinite,Amakinite,,
4028,4028,Amalgam,Amalgam,,
4029,4029,Amarantite,Amarantite,,
4030,4030,Amarillite,Amarillite,,
4031,4031,Amber,Amber,,
4032,4032,Amblygonite,Amblygonite,,
4033,4033,Ameghinite,Ameghinite,,
4034,4034,Amesite,Amesite,,
4035,4035,Amicite,Amicite,,
4036,4036,Aminoffite,Aminoffite,,
4037,4037,Potassic-magnesiosadanagaite,Potassic-magnesiosadanagaite,,
4038,4038,Potassicferrisadanagaite,Potassicferrisadanagaite,,
4039,4039,Potassicpargasite,Potassicpargasite,,
4040,4040,Potassicsadanagaite,Potassicsadanagaite,,
4041,4041,Ammonioborite,Ammonioborite,,
4042,4042,Ammoniojarosite,Ammoniojarosite,,
4043,4043,Ammonioleucite,Ammonioleucite,,
4044,4044,AmphiboleGroup,AmphiboleGroup,,
4045,4045,Amstallite,Amstallite,,
4046,4046,Analcime,Analcime,,
4047,4047,Anandite,Anandite,,
4048,4048,Anapaite,Anapaite,,
4049,4049,Anatase,Anatase,,
4050,4050,Ancylite-(Ce),Ancylite-(Ce),,
4051,4051,Ancylite-(La),Ancylite-(La),,
4052,4052,Andalusite,Andalusite,,
4053,4053,Andersonite,Andersonite,,
4054,4054,Andesine,Andesine,,
4055,4055,Andorite,Andorite,,
4056,4056,Andradite,Andradite,,
4057,4057,Andremeyerite,Andremeyerite,,
4058,4058,Androsite-(La),Androsite-(La),,
4059,4059,Anduoite,Anduoite,,
4060,4060,Angelellite,Angelellite,,
4061,4061,Anglesite,Anglesite,,
4062,4062,Anhydrite,Anhydrite,,
4063,4063,Anilite,Anilite,,
4064,4064,Ankangite,Ankangite,,
4065,4065,Ankerite,Ankerite,,
4066,4066,Annabergite,Annabergite,,
4067,4067,Annite,Annite,,
4068,4068,Anorthite,Anorthite,,
4069,4069,Anorthoclase,Anorthoclase,,
4070,4070,Antarcticite,Antarcticite,,
4071,4071,Anthoinite,Anthoinite,,
4072,4072,Anthonyite,Anthonyite,,
4073,4073,Anthophyllite,Anthophyllite,,
4074,4074,Antigorite,Antigorite,,
4075,4075,Antimonpearceite,Antimonpearceite,,
4076,4076,Antimonselite,Antimonselite,,
4077,4077,Antimony,Antimony,,
4078,4078,Antlerite,Antlerite,,
4079,4079,Anyuiite,Anyuiite,,
4080,4080,Apachite,Apachite,,
4081,4081,ApatiteGroup,ApatiteGroup,,
4082,4082,Aphthitalite,Aphthitalite,,
4083,4083,Apjohnite,Apjohnite,,
4084,4084,Aplowite,Aplowite,,
4085,4085,Apophyllite,Apophyllite,,
4086,4086,Apuanite,Apuanite,,
4087,4087,Aragonite,Aragonite,,
4088,4088,Arakiite,Arakiite,,
4089,4089,Aramayoite,Aramayoite,,
4090,4090,Aravaipaite,Aravaipaite,,
4091,4091,Arcanite,Arcanite,,
4092,4092,Archerite,Archerite,,
4093,4093,Arctite,Arctite,,
4094,4094,Arcubisite,Arcubisite,,
4095,4095,Ardaite,Ardaite,,
4096,4096,Ardealite,Ardealite,,
4097,4097,Ardennite,Ardennite,,
4098,4098,Arfvedsonite,Arfvedsonite,,
4099,4099,Argentojarosite,Argentojarosite,,
4100,4100,Argentopentlandite,Argentopentlandite,,
4101,4101,Argentopyrite,Argentopyrite,,
4102,4102,Argentotennantite,Argentotennantite,,
4103,4103,Argutite,Argutite,,
4104,4104,Argyrodite,Argyrodite,,
4105,4105,Arhbarite,Arhbarite,,
4106,4106,Aristarainite,Aristarainite,,
4107,4107,Armalcolite,Armalcolite,,
4108,4108,Armangite,Armangite,,
4109,4109,Armenite,Armenite,,
4110,4110,Armstrongite,Armstrongite,,
4111,4111,Arnhemite,Arnhemite,,
4112,4112,Arrojadite,Arrojadite,,
4113,4113,Arsenbrackebuschite,Arsenbrackebuschite,,
4114,4114,Arsendescloizite,Arsendescloizite,,
4115,4115,Arsenic,Arsenic,,
4116,4116,Arseniopleite,Arseniopleite,,
4117,4117,Arseniosiderite,Arseniosiderite,,
4118,4118,Arsenobismite,Arsenobismite,,
4119,4119,Arsenoclasite,Arsenoclasite,,
4120,4120,Arsenocrandallite,Arsenocrandallite,,
4121,4121,Arsenoflorencite-(Ce),Arsenoflorencite-(Ce),,
4122,4122,Arsenogorceixite,Arsenogorceixite,,
4123,4123,Arsenogoyazite,Arsenogoyazite,,
4124,4124,Arsenohauchecornite,Arsenohauchecornite,,
4125,4125,Arsenolamprite,Arsenolamprite,,
4126,4126,Arsenolite,Arsenolite,,
4127,4127,Arsenopalladinite,Arsenopalladinite,,
4128,4128,Arsenopyrite,Arsenopyrite,,
4129,4129,Arsenosulvanite,Arsenosulvanite,,
4130,4130,Arsenpolybasite,Arsenpolybasite,,
4131,4131,Arsentsumebite,Arsentsumebite,,
4132,4132,Arsenuranospathite,Arsenuranospathite,,
4133,4133,Arsenuranylite,Arsenuranylite,,
4134,4134,Arthurite,Arthurite,,
4135,4135,Artinite,Artinite,,
4136,4136,Artroeite,Artroeite,,
4137,4137,Arupite,Arupite,,
4138,4138,Arzakite,Arzakite,,
4139,4139,Asbecasite,Asbecasite,,
4140,4140,Asbestos,Asbestos,,
4141,4141,Asbolane,Asbolane,,
4142,4142,Aschamalmite,Aschamalmite,,
4143,4143,Ashanite,Ashanite,,
4144,4144,Ashburtonite,Ashburtonite,,
4145,4145,Ashcroftine-(Y),Ashcroftine-(Y),,
4146,4146,Ashoverite,Ashoverite,,
4147,4147,Asisite,Asisite,,
4148,4148,Aspidolite,Aspidolite,,
4149,4149,Asselbornite,Asselbornite,,
4150,4150,Astrocyanite-(Ce),Astrocyanite-(Ce),,
4151,4151,Astrophyllite,Astrophyllite,,
4152,4152,Atacamite,Atacamite,,
4153,4153,Atelestite,Atelestite,,
4154,4154,Athabascaite,Athabascaite,,
4155,4155,Atheneite,Atheneite,,
4156,4156,Atlasovite,Atlasovite,,
4157,4157,Atokite,Atokite,,
4158,4158,Attakolite,Attakolite,,
4159,4159,Aubertite,Aubertite,,
4160,4160,Augelite,Augelite,,
4161,4161,Augite,Augite,,
4162,4162,Aurantimonate,Aurantimonate,,
4163,4163,Aurichalcite,Aurichalcite,,
4164,4164,Auricupride,Auricupride,,
4165,4165,Aurorite,Aurorite,,
4166,4166,Aurostibite,Aurostibite,,
4167,4167,Austinite,Austinite,,
4168,4168,Autunite,Autunite,,
4169,4169,Averievite,Averievite,,
4170,4170,Avicennite,Avicennite,,
4171,4171,Avogadrite,Avogadrite,,
4172,4172,Awaruite,Awaruite,,
4173,4173,Azoproite,Azoproite,,
4174,4174,Azurite,Azurite,,
4175,4175,Babefphite,Babefphite,,
4176,4176,Babingtonite,Babingtonite,,
4177,4177,Babkinite,Babkinite,,
4178,4178,Baddeleyite,Baddeleyite,,
4179,4179,Bafertisite,Bafertisite,,
4180,4180,Baghdadite,Baghdadite,,
4181,4181,Bahianite,Bahianite,,
4182,4182,Baileychlore,Baileychlore,,
4183,4183,Baiyuneboite,Baiyuneboite,,
4184,4184,Corkite,Corkite,,
4185,4185,Baiyuneboite-(Ce),Baiyuneboite-(Ce),,
4186,4186,Cordylite-(Ce),Cordylite-(Ce),,
4187,4187,Cornetite,Cornetite,,
4188,4188,Cornubite,Cornubite,,
4189,4189,Cornwallite,Cornwallite,,
4190,4190,Coronadite,Coronadite,,
4191,4191,Corrensite,Corrensite,,
4192,4192,Corundum,Corundum,,
4193,4193,Corvusite,Corvusite,,
4194,4194,Cosalite,Cosalite,,
4195,4195,Coskrenite-(Ce),Coskrenite-(Ce),,
4196,4196,Costibite,Costibite,,
4197,4197,Cotunnite,Cotunnite,,
4198,4198,Coulsonite,Coulsonite,,
4199,4199,Cousinite,Cousinite,,
4200,4200,Covellite,Covellite,,
4201,4201,Cowlesite,Cowlesite,,
4202,4202,Coyoteite,Coyoteite,,
4203,4203,Crandallite,Crandallite,,
4204,4204,Crawfordite,Crawfordite,,
4205,4205,Creaseyite,Creaseyite,,
4206,4206,Criddleite,Criddleite,,
4207,4207,Cristobalite,Cristobalite,,
4208,4208,Crocoite,Crocoite,,
4209,4209,Cronstedtite,Cronstedtite,,
4210,4210,Cronstedtite-1m,Cronstedtite-1m,,
4211,4211,Crookesite,Crookesite,,
4212,4212,Crossite,Crossite,,
4213,4213,Cryolite,Cryolite,,
4214,4214,Cryolithionite,Cryolithionite,,
4215,4215,Cryptohalite,Cryptohalite,,
4216,4216,Cryptomelane,Cryptomelane,,
4217,4217,Csikolavaite,Csikolavaite,,
4218,4218,Cualstibite,Cualstibite,,
4219,4219,Cubanite,Cubanite,,
4220,4220,Cumengite,Cumengite,,
4221,4221,Cummingtonite,Cummingtonite,,
4222,4222,AllMinerals,AllMinerals,,
4223,4223,Delrioite,Delrioite,,
4224,4224,Delvauxite,Delvauxite,,
4225,4225,Demesmaekerite,Demesmaekerite,,
4226,4226,Denisovite,Denisovite,,
4227,4227,Denningite,Denningite,,
4228,4228,Derbylite,Derbylite,,
4229,4229,Derriksite,Derriksite,,
4230,4230,Dervillite,Dervillite,,
4231,4231,Desautelsite,Desautelsite,,
4232,4232,Descloizite,Descloizite,,
4233,4233,Despujolsite,Despujolsite,,
4234,4234,Dessauite,Dessauite,,
4235,4235,Devilline,Devilline,,
4236,4236,Dewindtite,Dewindtite,,
4237,4237,Diaboleite,Diaboleite,,
4238,4238,Diadochite,Diadochite,,
4239,4239,Diamond,Diamond,,
4240,4240,Diaoyudaoite,Diaoyudaoite,,
4241,4241,Diaphorite,Diaphorite,,
4242,4242,Diaspore,Diaspore,,
4243,4243,Dickinsonite,Dickinsonite,,
4244,4244,Dickite,Dickite,,
4245,4245,Dickthomssenite,Dickthomssenite,,
4246,4246,Dienerite,Dienerite,,
4247,4247,Dietrichite,Dietrichite,,
4248,4248,Dietzeite,Dietzeite,,
4249,4249,Digenite,Digenite,,
4250,5130,Liquid>aqueous,Fluid>Aqueous liquid,A material primarily composed of dihydrogen oxide in its liquid form,
4251,5087,Gas,Fluid>Gas,Material composed of one or more chemical entities that has neither independent shape nor volume but tends to expand indefinitely (http://purl.obolibrary.org/obo/ENVO_01000797).,
4252,4252,Biology,Biogenic material,"Material formed by a living organism, organic or inorganic composition",
4253,-9999,Microbiology,,"not a material type; reclassify material and material object type (Water biome, soil biome…)",
4254,-9999,NotApplicable,,NotApplicable,
4255,-9999,Other,,other material,
4256,4256,Soil,Soil,"Mixed granular mineral and organic matter modified by interaction between earth material, biosphere, and atmosphere, consisting of varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms. (https://en.wikipedia.org/wiki/Soil) Soil consists of horizons near the Earth's surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280) (http://purl.obolibrary.org/obo/ENVO_00001998) ",
4257,4257,Sediment,Non-consolidated sediment,"Solid granular material transported by wind, water, or gravity, not modified by interaction with biosphere or atmosphere (to differentiate from soil). Particles derived by erosion of pre-existing rock, from shell or other body parts from organisms, precipitated chemically in the surficial environment, or generated by explosive volcanic activity. (http://resource.geosciml.org/classifier/cgi/lithology/sediment). Sediment is not consolidated, i.e. Particulate constituents of a compound material do not adhere to each other strongly enough that the aggregate can be considered a solid material in its own right. Similar to http://purl.obolibrary.org/obo/ENVO_00002007",
4258,4258,Particulate,Particulate,"Material consists of microscopic particulate material derived by precipitation, filtering, or settling from suspension in a fluid, e.g. filtrate from water, deposition from atmosphere, astro material particles. Might include mineral, organic, or biological material. ENVO definition (ENVO_01000060) has ""composed of microscopic portions of solid or liquid material suspended in another environmental material."" Refine here to define as the solid particles, distinct from a material in which they are suspended. A material that includes solid or liquid particles suspended in another material would be a dispersed_media in this scheme, not defined in ENVO. Human manufactured particulates (e.g. rock powder) should be categorized as 'Anthropogenic material' as well as 'Particulate' .",
4259,5158,Liquid>organic,Fluid>Non-aqueous liquid,"Liquid composed dominantly of material other than water. Includes liquids that do not fit in any other category. E.g. alcohol, petroleum. ",
4260,4252,Macrobiology,Biogenic material,"Material formed by a living organism, organic or inorganic composition",
4262,4262,Macrobiology>Coral,Biogenic non-organic material ,"Material produced by an organism but not composed of very large molecules of biological origin. E.g. bone, tooth, shell, coral, skeleton ",
4263,5141,Metamorphic>Metasedimentary,Metasedimentary rock,Rock formed by metamorphism of a sedimentary protolith.,
4264,3068,Ice,Frozen water,Water that is in a solid state. ,
4265,5133,Synthetic,Manufactured chemical substance ,material is an artifically produced sustance consisting of a single chemical entity,
4266,5142,Hydrothermal,Metasomatic rock,"Rockh has open source n indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4267,5109,Hydrothermal>Sulfide,Hydrothermal Massive Sulphide,Rock consisting of greater that 50% sulphide or sulfosalt minerals formed by hydrothermal mineralization processes.,
4268,5142,Hydrothermal>Oxide,Metasomatic rock,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4269,5142,Hydrothermal>Sulfate,Metasomatic rock,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4270,5142,Hydrothermal>Carbonate,Metasomatic rock,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4271,5142,Hydrothermal>Breccia,Metasomatic rock,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4272,5142,Hydrothermal>Stockwork,Metasomatic rock,"Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.",
4273,5143,Metamorphic>Metavolcanic,Metavolcanic rock,Rock formed by metamorphism of an extrusive igneous protolith.,
4274,5110,Igneous>Hypabyssal,Hypabyssal intrusive rock,"Igneous rocks formed by crystallisation close to the Earth's surface, characterized by more rapid cooling than plutonic setting to produce generally fine-grained intrusive igneous rock, commonly associated with co-magmatic volcanic rocks.",
4275,5162,Organic Material,Organic material,"Material derived from living organisms and composed primarily of one or more very large molecules of biological origin. Examples: body (animal or plant), body part, fecal matter, seeds, wood, tissue, biological fluids, biological waste, algal material, biofilm, necromass, plankton. source: http://purl.obolibrary.org/obo/ENVO_01000155 ",
4276,5236,Plant Structure,Plant material,Organic material produced by a plant,
4277,5216,Tephra,Tephra,"Unconsolidated pyroclastic material in which greater than 75 percent of the fragments are deposited as a direct result of volcanic processes and the deposit has not been reworked by epiclastic processes. Includes ash, lapilli tephra, bomb tephra, block tephra and unconsolidated agglomerate.",
4278,4278,Donor Organism,Animal tissue,Organic material that is tissue from the body of an animal. ,
,3,,any material,top concept in materials vocabulary,
,4,,Natural Solid Material,"A naturally occurring solid material that is not anthropogenic, biogenic, or ice.",
,5008,,Anthropogenic material,,
,5237,,Mineral-Native Element,Nickel-Strunz class 01,
,5238,,Mineral-Sulfide or Sulfosalt,Nickel-Strunz class 02,
,5239,,Mineral-Halide,Nickel-Strunz class 03,
,5240,,Mineral-Oxide,Nickel-Strunz class 04,
,5241,,Mineral-Carbonate or Nitrate,Nickel-Strunz class 05,
,5242,,Mineral-Borate,Nickel-Strunz class 06,
,5243,,"Mineral-Sulfate, Selenate, or Tellurate",Nickel-Strunz class 07,
,5244,,"Mineral-Phosphate, Arsenate, or Vanadate",Nickel-Strunz class 08,
,5245,,Mineral-Silicate or Germanate,Nickel-Strunz class 09,
,5246,,Mineral-Organic Compound,Nickel-Strunz class 10,
,5247,,Mineral-Organic Compound,Organic mineral,
,5248,,Fluid material,"Substance that continually deforms (flows) under an applied shear stress, or external force. Fluids are a phase of matter and include liquids, gases and plasmas. They are substances with zero or small shear modulus, and flow at a perceptible rate under any shear force applied to them. ",
,5249,,Composite genesis material,"Material of unspecified consolidation state formed by geological modification of pre-existing materials outside the realm of igneous and sedimentary processes. Includes rocks formed by impact metamorphism, standard dynamothermal metamorphism, brittle deformation, weathering, metasomatism and hydrothermal alteration (diagenesis is a sedimentary process in this context). ",
,5250,,Mineral Processing Product,"Materials resulting from mineral processing for resource extraction. Includes tailings, slag, matte, concentrate etc.",
