classification_id,material_id,classification_label,label,description,material_role_id
2890,2890,Hashemite,Hashemite,,
2891,2891,Hastingsite,Hastingsite,,
2892,2892,Hastite,Hastite,,
2893,2893,Hatchite,Hatchite,,
2894,2894,Hatrurite,Hatrurite,,
2895,2895,Hauchecornite,Hauchecornite,,
2896,2896,Hauckite,Hauckite,,
2897,2897,Hauerite,Hauerite,,
2898,2898,Hausmannite,Hausmannite,,
2899,2899,Hauyne,Hauyne,,
2900,2900,Hawleyite,Hawleyite,,
2901,2901,Hawthorneite,Hawthorneite,,
2902,2902,Haxonite,Haxonite,,
2903,2903,Haycockite,Haycockite,,
2904,2904,Haynesite,Haynesite,,
2905,2905,Heazlewoodite,Heazlewoodite,,
2906,2906,Hechtsbergite,Hechtsbergite,,
2907,2907,Hectorfloresite,Hectorfloresite,,
2908,2908,Hectorite,Hectorite,,
2909,2909,Hedenbergite,Hedenbergite,,
2910,2910,Hedleyite,Hedleyite,,
2911,2911,Hedyphane,Hedyphane,,
2912,2912,Heideite,Heideite,,
2913,2913,Heidornite,Heidornite,,
2914,2914,Heinrichite,Heinrichite,,
2915,2915,Hejtmanite,Hejtmanite,,
2916,2916,Heliophyllite,Heliophyllite,,
2917,2917,Hellandite,Hellandite,,
2918,2918,Hellyerite,Hellyerite,,
2919,2919,Helmutwinklerite,Helmutwinklerite,,
2920,2920,Helvite,Helvite,,
2921,2921,Hematite,Hematite,,
2922,2922,Hematolite,Hematolite,,
2923,2923,Hematophanite,Hematophanite,,
2924,2924,Hemihedrite,Hemihedrite,,
2925,2925,Hemimorphite,Hemimorphite,,
2926,2926,Hemloite,Hemloite,,
2927,2927,Hemusite,Hemusite,,
2928,2928,Hendersonite,Hendersonite,,
2929,2929,Hendricksite,Hendricksite,,
2930,2930,Heneuite,Heneuite,,
2931,2931,Henmilite,Henmilite,,
2932,2932,Hennomartinite,Hennomartinite,,
2933,2933,Henritermierite,Henritermierite,,
2934,2934,Henryite,Henryite,,
2935,2935,Hentschelite,Hentschelite,,
2936,2936,Hercynite,Hercynite,,
2937,2937,Herderite,Herderite,,
2938,2938,Herschelite,Herschelite,,
2939,2939,Herzenbergite,Herzenbergite,,
2940,2940,Hessite,Hessite,,
2941,2941,Hetaerolite,Hetaerolite,,
2942,2942,Heterogenite,Heterogenite,,
2943,2943,Heterogenite-2h,Heterogenite-2h,,
2944,2944,Heteromorphite,Heteromorphite,,
2945,2945,Heterosite,Heterosite,,
2946,2946,Heulandite,Heulandite,,
2947,2947,Heulandite-K,Heulandite-K,,
2948,2948,Heulandite-Na,Heulandite-Na,,
2949,2949,Heulandite-Sr,Heulandite-Sr,,
2950,2950,Heulandite-Ca,Heulandite-Ca,,
2951,2951,Hewettite,Hewettite,,
2952,2952,Hexaferrum,Hexaferrum,,
2953,2953,Hexahydrite,Hexahydrite,,
2954,2954,Hexahydroborite,Hexahydroborite,,
2955,2955,Hexatestibiopanickelite,Hexatestibiopanickelite,,
2956,2956,Heyite,Heyite,,
2957,2957,Heyrovskyite,Heyrovskyite,,
2958,2958,Hibbingite,Hibbingite,,
2959,2959,Hibonite,Hibonite,,
2960,2960,Hibschite,Hibschite,,
2961,2961,Hidalgoite,Hidalgoite,,
2962,2962,Hieratite,Hieratite,,
2963,2963,Hilairite,Hilairite,,
2964,2964,Hilgardite,Hilgardite,,
2965,2965,Hilgardite-1tc,Hilgardite-1tc,,
2966,2966,Hilgardite-3tc,Hilgardite-3tc,,
2967,2967,Hilgardite-4m,Hilgardite-4m,,
2968,2968,Hillebrandite,Hillebrandite,,
2969,2969,Hingganite,Hingganite,,
2970,2970,Hingganite-(Ce),Hingganite-(Ce),,
2971,2971,Hingganite-(Y),Hingganite-(Y),,
2972,2972,Hingganite-(Yb),Hingganite-(Yb),,
2973,2973,Hinsdalite,Hinsdalite,,
2974,2974,Hiortdahlite,Hiortdahlite,,
2975,2975,Hisingerite,Hisingerite,,
2976,2976,Hoakansboda,Hoakansboda,,
2977,2977,Hocartite,Hocartite,,
2978,2978,Hochelagaite,Hochelagaite,,
2979,2979,Hodgkinsonite,Hodgkinsonite,,
2980,2980,Hodrushite,Hodrushite,,
2981,2981,Hoelite,Hoelite,,
2982,2982,Hogtuvaite,Hogtuvaite,,
2983,2983,Hohmannite,Hohmannite,,
2984,2984,Holdawayite,Holdawayite,,
2985,2985,Holdenite,Holdenite,,
2986,2986,Hollandite,Hollandite,,
2987,2987,Hollingworthite,Hollingworthite,,
2988,2988,Holmquistite,Holmquistite,,
2989,2989,Holtedahlite,Holtedahlite,,
2990,2990,Holtite,Holtite,,
2991,2991,Homilite,Homilite,,
2992,2992,Honessite,Honessite,,
2993,2993,Hongquiite,Hongquiite,,
2994,2994,Hongshiite,Hongshiite,,
2995,2995,Hopeite,Hopeite,,
2996,2996,HornblendeSeries,HornblendeSeries,,
2997,2997,Horsfordite,Horsfordite,,
2998,2998,Horvathite-(Y),Horvathite-(Y),,
2999,2999,Hotsonite,Hotsonite,,
3000,3000,Howardevansite,Howardevansite,,
3001,3001,Howieite,Howieite,,
3002,3002,Howlite,Howlite,,
3003,3003,Hsianghualite,Hsianghualite,,
3004,3004,Huanghoite-(Ce),Huanghoite-(Ce),,
3005,3005,Huangite,Huangite,,
3006,3006,Hubeite,Hubeite,,
3007,3007,Huemulite,Huemulite,,
3008,3008,Hulsite,Hulsite,,
3009,3009,Humberstonite,Humberstonite,,
3010,3010,Humboldtine,Humboldtine,,
3011,3011,Humite,Humite,,
3012,3012,Hummerite,Hummerite,,
3013,3013,Hunchunite,Hunchunite,,
3014,3014,Hungchaoite,Hungchaoite,,
3015,3015,Huntite,Huntite,,
3016,3016,Hureaulite,Hureaulite,,
3017,3017,Hurlbutite,Hurlbutite,,
