"method"
"Coring>CoreBarrel>Extended"
"Coring>Drill"
"Coring>DrillCorer"
"Coring>DrillCorer>HandHeldCorer"
"Coring>FreeFallCorer"
"Coring>Geoprobe"
"Coring>Giant Gravity Core"
"Coring>gravity core"
"Coring>Gravity Core"
"Coring>Gravity Corer"
"Coring>Gravity corer (Kiel type) (SL)"
"Coring>GravityCorer"
"Coring>GravityCorer "
"Coring>GravityCorer and Rhizon"
"Coring>GravityCorer>Giant"
"Coring>GravityCorer>Pilot"
"Coring>HandHeldCore"
"Coring>HandHeldCorer"
"Coring>Jumbo Gravity Core"
"Coring>Jumbo Piston Core"
"Coring>Jumbo Trigger Core"
"Coring>JumboGravityCorer"
"Coring>JumboKastenCorer"
"Coring>JumboPistonCore"
"Coring>JumboPistonCorer"
"Coring>JumboTriggerCore"
"Coring>JumboTriggerCorer"
"Coring>Kasten Core"
"Coring>KastenCorer"
"Coring>KastenlotCorer"
"Coring>Megacore"
"Coring>Multicore"
"Coring>Multicorer"
"Coring>MultiCorer"
"Coring>MultiCorer core"
"Coring>PercussionCorer"
"Coring>Phleger"
"Coring>Phleger Core"
"Coring>Phleger Corec"
"Coring>PhlegerCore"
"Coring>PhlegerCorer"
"Coring>Piston Core"
"Coring>Piston corer"
"Coring>PistonCore"
"Coring>PistonCorer"
"Coring>PistonCorer>Giant"
"Coring>PistonCorer>Jumbo"
"Coring>PistonCoring"
"Coring>PistonPushCorer"
"Coring>PushCorer"
"Coring>RockCorer"
"Coring>ShortKastenCorer"
"Coring>SideSaddleCorer"
"Coring>SubmersibleMountedCorer"
"coring>Trigger Core"
"Coring>Trigger Core"
"Coring>TriggerCore"
"Coring>TriggerCore>Giant"
"Coring>Triggercorer"
"Coring>TriggerCorer"
"Coring>TriggerCorer>Giant"
"Coring>TriggerCorerr"
"Coring>TriggerGravityCorer"
"Coring>TriggerWeight"
"Coring>TriggerWeightCorer"
"Coring>Vibracore"
"Coring>VibraCorer"
"Coring>VibratingCorer"
"CORING>VIBRATINGCORER"
"Coring>WaxCorer"
"CTD"
"Cut and removed with spatula"
"Cut from American Museum of Natural History Mineral Collection # 100242"
"David's collection \ testing escapable chars."""
"Deep ice core"
"DEEP LAKE DRILLING SYSTEM using Hydraulic Piston Corer (HPC), Extended shoe, non-rotating (EXN), Extended core bit, rotating (XCB)"
"Density Coreing Device"
"Depth-integrated"
"diamond bit wireline coring"
"Dietz grab"
"dig from pit "
"Dilling"
"direct from outcrop"
"Direct from tephra deposit"
"Direct push drill"
"dredge"
"Dredge"
"Dredge/MAPR"
"dredging"
"Dredging"
"Dredging; Manual"
"Dredging>Chain Bag"
"Dredging>ChainBagDredge"
"dregde"
"Drill"
"drill core"
"Drill core"
"Drill Core"
"drill core paleomag"
"drill corer"
"drill coring"
"drilling"
"Drilling"
"Drilling-extended core barrel"
"Drilling - Extended Core Barrel"
"drilling, hammer"
"drilling, saw"
"drilling, spoon"
"Dry Drill"
"Dry Drill "
"dug"
"Dug pit with shovel, then scraped thin (~10cm) layers of ash from top down into bags"
"Engine Strainer"
"Epi-Benthic"
"excavation"
"excavation of sub-aerial deposit"
"Excised branch"
"Experimental Apparatus"
"External detector"
"Field"
"field collected"
"field geoloogy"
"field sampling"
"Field sampling"
"Filled in laboratory"
"Filtration + acidification"
"float sample from rock slide"
"Fog wets plastic sheet"
"Fog wets plastic web"
"Fontainebleau quarry"
"From Handpump"
"Fumarole, manual"
"G"
"Gas-tight Water Sampler"
"gas tight bottle"
"Geological hammer"
"Geoprobe 7822DT"
"Geoprobe 8140 LS"
"Gildehaus quarry"
"grab"
"Grab"
"Grab "
"Grab or Hammering"
"Grab sample"
"Grab Sample"
"grab sample of top few cm of sediment"
"Grab sample>MQ dispenser"
"Grab sampler"
"grab, 0.22 micron filtered"
"grab, 0.8/0.2 micron filtered"
"Grab>HOV"
"GRAB>HOV"
"Grab>Rov"
"Grab>ROV"
"GRAB>ROV"
"Grab>ROV "
"grab>shovel"
"Grab>SMG"
"Gravity Core"
"gravity corer"
"Gravity corer"
"Gravity Corer"
"Gravity corer pilot"
"Gravity drilling"
"GravityCorer"
"hammer"
"Hammer"
"Hammer & Chisel"
"hammer and chisel"
"Hammer and chisel"
"Hammering, hand"
"hand"
"Hand"
"hand-drill"
"Hand-drill"
"Hand-net (100 µm mesh size)"
"hand-picked clasts"
"Hand auger"
"Hand Auger"
"Hand augering"
"Hand Augering"
"Hand Auguring"
"hand bottle fill"
"hand core"
"Hand dug soil pit"
"Hand Intertidal"
"hand sample"
"Hand sample"
"Hand Sample"
"Hand sample collected from outcrop"
"hand sample from outcrop"
"hand sampling"
"Hand shovel"
"hand shovel, 0 - 4cm below land surface"
"hand shovel, 0 - 7 cm below land surface"
"HandHeldCorer"
"HandSpecimen"
"Headspace equilibration method"
"Heavy liquid separation"
"hot pressed"
"HOV"
"hummering"
"Hydraulic drill, 5 cm marble coring bit"
"IGTB"
"IHPV"
"Impact Coring"
"In-drain autosampler"
"In-situ"
"In-stream autosampler"
"In situ>WaxCore"
"Individual Sample"
"Infrared heaters and  static chambers technique "
"installed via soil auger according to Lawrence “Gas well instructions”"
"IODP core"
"Isaacs Kidd Mid Water Trawl"
"ISCO autosampler"
"Jumbo Piston Core"
"Kaiko dive"
"Kasten Core"
"Knife"
"LA-ICPMS"
"Lab made"
"Layer below grass"
"Lechate from soil core"
"Lechatefrom soil core"
"livingstone corer"
"Local natural rock dealer"
"Long Line"
"Long Piston Core"
"lose block"
"LVT"
"manipulator"
"Manipulator"
"Manipulator, ThermocoupleArray"
"manual"
"Manual"
"MANUAL"
"manual-hammer"
"Manual-Hammer"
"manual "
"Manual "
"Manual - Hammer"
"Manual extraction"
"Manual surface water sampling"
"Manual; rock hammer"
"Manual; tube collection"
"Manual> hammer"
"Manual> nylon spatula"
"Manual>block and hammer"
"Manual>Hamer"
"manual>hammer"
"Manual>hammer"
"Manual>Hammer"
"manual>hammer> oriented"
"Manual>HandCorer"
"Manual>in situ"
"Manual>Shovel"
"manualAugering>AMSauger"
"Manuel>Hammer"
"Mars 2020 abrasion bit"
"Mars 2020 coring bit"
"melting"
"Menzies Trawl"
"metal scoop"
"microdrilling"
"Micropillar Compression"
"Micropillar Deformation"
"Mined"
"mixed left, right, center, 0.45 micron filtered"
"Multicore"
"Museum specimen"
"Nanoindentation"
"Niskin"
"Niskin Water Sampler"
"Non Oriented  sample, collected with hammer, chisel."
"ODP drilling"
"Oil and Gas Exploration"
"open-hole drilling"
"Oriented hand sample"
"Oriented sample, collected with hammer, chisel."
"Other"
"Otter Trawl"
"Otter Trawl/IK Net"
"outcrop"
"Outcrop"
"outcrop hand sample"
"Outcrop Hand Sample"
"Outcrop sampling"
"Paleomagnetic drilling"
"Passive Filtration"
"percussion corer and Livingston corer"
"PES membrane filtered"
"Peterson Grab"
"Phleger Core"
"Photomicrograph"
"Pick"
"Pick up by hand"
"piston core"
"Piston Core"
"Piston Cylinder"
"PistonCorer"
"pit"
"Pit"
"pit in cliff"
"pit sampling"
"Pneumatic drill"
"Pneumatic Drill"
"pneumatic drill, 4cm diameter"
"Pnumatic drill, 3.5 cm marble coring bit"
"Pomerory Rock Drill"
"porewater sample of top ~10 cm of sediment using Rhizon"
"Power Drilling"
"powered auger"
"pre-combusted amber glass bottle, 0.8/0.2 micron cartridge filter (AcroPak), HCl preservative"
"precombusted glass fiber filter (GFF) filtered"
"Prenart"
"Prenart "
"Pump"
"Pumping"
"purchasing on-site"
"push core"
"quantitative pit/ hand coring"
"random grab"
"random number generator"
"random sample"
"Received "
"Retrieved in field and dried at 70 C before shipping to ORNL"
"rock-crusher"
"Rock dredge"
"Rock Dredge"
"rock hammer"
"Rock hammer"
"Rock Hammer"
"rock hammer / sledge"
"Rock Powder"
"RockCorer"
"Rosette"
"Rotary core barrel"
"Rotary drill"
"rotasonic "
"rov"
"ROV"
"ROV Grab Sample"
"ROV Hercules"
"Russian corer"
"sample from outcrop"
"Sample from outcrop"
"Sample plug"
"sampled by rock hammer"
"sampled from NYBG herbarium sheet"
"Sampler"
"Sampler:Bacteria"
"Sampler:Biology"
"Sampler:Biology:ColonizationSubstrate"
"Sampler:Biology:CrabTrap"
"Sampler:Biology:IncubationChamber"
"Sampler:Biology:MOCNESS"
"Sampler:Biology:MusselPot"
"Sampler:Biology:Net"
"Sampler:Biology:Pump"
"Sampler:Biology:PushCore"
"Sampler:Biology:Scoop"
"Sampler:Biology:Scoop, Sampler:Biology:Slurp"
"Sampler:Biology:SettlementPlate"
"Sampler:Biology:ShrimpTrap"
"Sampler:Biology:Slurp"
"Sampler:Biology:Suction"
"Sampler:Biology:Syringe"
"Sampler:Biology:Trap"
"Sampler:Biology:WormWok"
"Sampler:Fluid"
"Sampler:Fluid:Bottle"
"Sampler:Fluid:GasTight"
"Sampler:Fluid:GasTight:IGT"
"Sampler:Fluid:Ghostbuster"
"Sampler:Fluid:GTHFS"
"Sampler:Fluid:HFPS"
"Sampler:Fluid:HFS"
"Sampler:Fluid:HFS "
"Sampler:Fluid:HotFluid"
"Sampler:Fluid:major"
"Sampler:Fluid:Major"
"Sampler:Fluid:Manifold"
"Sampler:Fluid:Niskin"
"Sampler:Fluid:Slurp"
"Sampler:Fluid:Squeeze"
"Sampler:Fluid:SuPR"
"Sampler:Fluid:Toaster"
"Sampler:Gas:bottle"
"Sampler:Gas:Bottle"
"Sampler:Gas:HFS"
"Sampler:GAS:HFS"
"Sampler:Geology:Scoop"
"Sampler:HFS:Gas"
"Sampler:PushCore"
"Sampler:Rock:Core"
"Sampler:Rock:Dredge"
"Sampler:Rock:Drill"
"Sampler:Sediment:BoxCore"
"Sampler:Sediment:GougeCore"
"Sampler:Sediment:Grab"
"Sampler:Sediment:GravityCore"
"Sampler:Sediment:JumboPistonCore"
"Sampler:Sediment:KastenCore"
"Sampler:Sediment:MultiCore"
"Sampler:Sediment:PistonCore"
"Sampler:Sediment:RussianCore"
"Sampler:Sediment:Scoop"
"Sampler:Sediment:Slurp"
"Sampler:Sediment:TriggerCore"
"Sampler:Sediment:VibraCore"
"Sampler:SedimentCore"
"Sampler:SedimentTrap"
"Sampler:SPME "
"Sampler:Suction"
"sampling"
"Sampling protocol Global Rivers Project"
"saw"
"scoop"
"Scoop"
"Scoop>ROV"
"Scooped up from scree slope"
"Scraping layers with trowel"
"SCUBA diving"
"sediment grab sampler"
"Sediment trap"
"SedPoint insertion tool"
"SG"
"Shaker table"
"Shinkai 6500"
"Shinkai 6500 dive"
"Shop bought"
"short (30 cm) lake core using Universal Corer"
"shovel"
"Shovel"
"Shovel; auger"
"Sieved"
"Single/Grab"
"Sinking particle traps"
"sipper"
"Slide hammer "
"slide hammer corer"
"slurp"
"small core"
"SMG"
"Snapper"
"soil auger"
"Soil Core"
"soil core bulk density sampler"
"Soil knife"
"soil pit"
"Soil Pit"
"soil pit and soil auger"
"spatter ramparts"
"spoon"
"stored frozen in plastic Whirl-Pak bag"
"striking"
"submersible"
"Submersible"
"suction"
"Suction Sampler"
"Suction>60mLSyringe"
"Suction>ROV"
"SuctionSampler"
"surface"
"Surface"
"Surface and shallow excavation"
"surface collection"
"Surface measurement by use of terrestrial LiDAR"
"surface samples into plastic bags"
"surface sampling"
"Suspended sediment"
"Suspended sediment sampler"
"Synthetic"
"syringe"
"Syringe"
"Syringe into soil enrichment"
"Syringe, 100 cc"
"Syringe, 400 ml"
"Tension Lysimeter"
"TensionLys1"
"Tephra scraped into bag from surface of 1995 flow lobe (so as to constrain age to <1995)"
"test"
"the soil sample was sieved at <250 µm by mechanical agitation."
"Titanium Major Water Sampler"
"Took from section"
"towcam"
"Trawl"
"Trawling>Blake Trawl"
"Trawling>BlakeTrawl"
"Trawling>OtterTrawl"
"Trench, manual"
"Triangular Dredge"
"Trigger Core"
"tripod piston corerer"
"Trowel"
"truck-mounted drill rig"
"Try Net"
"tube well"
"TV grab sample"
"TZM"
"U.C. Berkeley Sample Archive"
"Unknown"
"UWITECH 90"
"Vacuum filtration"
"Van Veen grab"
"Vegetation Community Plot Aboveground NPP Harvest"
"vibracore"
"VibraCore"
"vibracorer"
"vibrating corer, auger head 5 cm outer/4,5 inner diameter"
"Viewing"
"Volunteer>HOV"
"water displacment method"
"Water displacment method "
"water sample from just below surface"
"Water Well Cuttings"
"Wax Core"
"WaxCorer"
"WellSample"
"Wick"
"XXXXX"
"Yokosuka deep-tow dredge"
"Zero Tension"
"ZeroTension"
NULL
