"platform_name","platform_type"
"Endeavor","ship"
"Endeavor","Ship"
"Endeavor",NULL
"Endeavour","Ship"
"Ewing","Ship"
"EWING","Ship"
"Falkor",NULL
"Farnella","Ship"
"Ferrel","Ship"
"FV Giljanes","Ship"
"Gillis","Ship"
"Gilliss","Ship"
"Gilliss",NULL
"Glomar Challenger","Ship"
"Glomar Challenger",NULL
"Goldberger","Ship"
"Gosnold","Ship"
"Gould","Ship"
"Gyre",NULL
"H.M.S. Porcupine","Ship"
"Hafthor","Ship"
"Hak Maru","ship"
"Hak. Maru","ship"
"Hakuho Maru",NULL
"HAWAII","ship"
"Healy","Ship"
"Healy","U.S. Coast Guard Cutter"
"HMNZS Endeavour III","Ship"
"Horizon","Ship"
"Horizon",NULL
"Hudson","Ship"
"Hudson",NULL
"Hugh Sharp","Ship"
"Humboldt Bay","Ship"
"Ice Island Arliss II","Platform"
"Ice Island Charlie",NULL
"Ice Island T3","Ice Island"
"Ice Island T3","Platform"
"Iolanthe","Ship"
"Islas Orcadas","Ship"
"James Cook","Ship"
"James M. Gilliss","Ship"
"Jason","Ship"
"JASON","ship"
"Jason Platform","ROV"
"Jason Platform",NULL
"Jean Charcot","Ship"
"Joides Resolution","Ship"
"Joides Resolution","SHIP"
"Joides Resolution",NULL
"JOIDES Resolution","drilling vessel"
"JOIDES Resolution","Drilling Vessel"
"JOIDES Resolution","Ship"
"JOIDES Resolution",NULL
"Joides Resolution > 304","Ship"
"JW Powell","Ship"
"KaBoat Platform","Raft"
"Kairei","Ship"
"Kaiyo","Ship"
"Kana Keoki","Ship"
"Kana Keoki",NULL
"Kana Keoki?",NULL
"Kane","Ship"
"Kelez","Ship"
"Kevin Moran","Ship"
"Kilo Moana","Ship"
"Kilo Moana",NULL
"Knorr","ship"
"Knorr","Ship"
"Knorr",NULL
"KNORR","ship"
"KNORR","Ship"
"L'Atalante","Ship"
"L'Atalante",NULL
"L. Walford","Ship"
"Land Drill","Ship"
"Land Drill",NULL
"Le Noroit","Ship"
"Long Lines","Ship"
"Lord Kelvin","Ship"
"Lynch","Ship"
"M/V Alucia",NULL
"m/v Samantha Miller","Ship"
"Marcus G Langseth","ship"
"Marcus G. Langseth","Ship"
"Marion Dufresne",NULL
"Maritime Explorer","Ship"
"Maritime Maid","Ship"
"Maurice Ewing","Ship"
"Melville","Ship"
"Melville",NULL
"Melville Gloria","Ship"
"Meteor",NULL
"Moana Wave","Ship"
"Moana Wave",NULL
"Mother Goose II","Ship"
"Mott Drilling Co.","Drill Rig"
"Mount Mitchell","Ship"
"Mozorola, Morrito #2","Boat"
"Mt. Mitchell","Ship"
"MV Thunderforce","Ship"
"myplatform","Ship"
"myplatform ID","Ship"
"myplatform ID",NULL
"Mystique",NULL
"n","Ship"
"Nadir","ship"
"Nadir",NULL
"Name of platform for the cruise.","Type of platform for the cruise."
"Name of platform ie USCGC Healy","Icebreaker"
"Nathanial B. Palmer","SHALDRIL"
"Nathanial B. Palmer","Ship"
"Nathaniel B Palmer","Ship"
"Nathaniel B. Palmer","Ship"
"Nathaniel B. Palmer","SHIP"
"Nathaniel B. Palmer",NULL
"Nautile","Ship"
"NB Palmer","Ship"
"NEJTW","Ship"
"Nesmeyanov","Ship"
"New Horizon","Ship"
"New Horizon",NULL
"NEW HORIZON","Ship"
"New York Bight","Ship"
"NOAA Ship Miller Freeman","Ship"
"Northwind","Ship"
"Not Applicable","Not Applicable"
"Not Applicable",NULL
"NotApplicable","NotApplicable"
"NotApplicable",NULL
"NRV Alliance",NULL
"Oceanographer","Ship"
"Oceanus","Ship"
"OCEANUS","ship"
"Oden","Ship"
"Okeanos Explorer",NULL
"Onrust","Ship"
"Orange Rockland/Nyack","Ship"
