s	label	match
gcmin:arsenic	Arsenic	<https://www.mindat.org/1:1:357:1>
<https://w3id.org/geochem/1.0/mingroup/29270>	Arsenic Group	<https://www.mindat.org/1:1:29270:4>
gcmin:arseniopleite	Arseniopleite	<https://www.mindat.org/1:1:359:9>
gcmin:arseniosiderite	Arseniosiderite	<https://www.mindat.org/1:1:360:5>
gcmin:arsenmedaite	Arsenmedaite	<https://www.mindat.org/1:1:51567:8>
gcmin:arsenoclasite	Arsenoclasite	<https://www.mindat.org/1:1:364:1>
gcmin:arsenocrandallite	Arsenocrandallite	<https://www.mindat.org/1:1:365:0>
gcmin:arsenoflorencite-ce	Arsenoflorencite-(Ce)	<https://www.mindat.org/1:1:366:9>
gcmin:arsenoflorencite-la	Arsenoflorencite-(La)	<https://www.mindat.org/1:1:295:2>
<https://w3id.org/geochem/1.0/mingroup/54915>	Arsenofreibergite Subgroup	<https://www.mindat.org/1:1:54915:2>
gcmin:arsenogoldfieldite	Arsenogoldfieldite	<https://www.mindat.org/1:1:55709:0>
gcmin:arsenogorceixite	Arsenogorceixite	<https://www.mindat.org/1:1:304:9>
gcmin:arsenogoyazite	Arsenogoyazite	<https://www.mindat.org/1:1:292:5>
gcmin:arsenohauchecornite	Arsenohauchecornite	<https://www.mindat.org/1:1:301:2>
gcmin:arsenohopeite	Arsenohopeite	<https://www.mindat.org/1:1:41153:0>
gcmin:arsenolamprite	Arsenolamprite	<https://www.mindat.org/1:1:312:8>
gcmin:arsenolite	Arsenolite	<https://www.mindat.org/1:1:294:3>
gcmin:arsenopalladinite	Arsenopalladinite	<https://www.mindat.org/1:1:303:0>
<https://w3id.org/geochem/1.0/mingroup/35748>	Arsenopalladinite Group	<https://www.mindat.org/1:1:35748:1>
gcmin:arsenopyrite	Arsenopyrite	<https://www.mindat.org/1:1:305:8>
<https://w3id.org/geochem/1.0/mingroup/29271>	Arsenopyrite Group	<https://www.mindat.org/1:1:29271:3>
gcmin:arsentsumebite	Arsentsumebite	<https://www.mindat.org/1:1:372:0>
gcmin:arsenuranospathite	Arsenuranospathite	<https://www.mindat.org/1:1:373:9>
gcmin:arsenuranylite	Arsenuranylite	<https://www.mindat.org/1:1:374:8>
gcmin:arsiccioite	Arsiccioite	<https://www.mindat.org/1:1:43935:0>
gcmin:arthurite	Arthurite	<https://www.mindat.org/1:1:376:6>
<https://w3id.org/geochem/1.0/mingroup/29272>	Arthurite Group	<https://www.mindat.org/1:1:29272:2>
gcmin:artinite	Artinite	<https://www.mindat.org/1:1:377:5>
gcmin:artroeite	Artroeite	<https://www.mindat.org/1:1:378:4>
gcmin:artsmithite	Artsmithite	<https://www.mindat.org/1:1:26878:9>
gcmin:arupite	Arupite	<https://www.mindat.org/1:1:379:3>
gcmin:arzrunite	Arzrunite	<https://www.mindat.org/1:1:381:8>
gcmin:asagiite	Asagiite	<https://www.mindat.org/1:1:470431:3>
gcmin:asbecasite	Asbecasite	<https://www.mindat.org/1:1:382:7>
gcmin:asbolane	Asbolane	<https://www.mindat.org/1:1:384:5>
gcmin:aschamalmite	Aschamalmite	<https://www.mindat.org/1:1:386:3>
gcmin:ashburtonite	Ashburtonite	<https://www.mindat.org/1:1:388:1>
gcmin:ashcroftine-y	Ashcroftine-(Y)	<https://www.mindat.org/1:1:389:0>
gcmin:ashoverite	Ashoverite	<https://www.mindat.org/1:1:453:4>
gcmin:asisite	Asisite	<https://www.mindat.org/1:1:391:5>
gcmin:aspedamite	Aspedamite	<https://www.mindat.org/1:1:42356:2>
gcmin:aspidolite	Aspidolite	<https://www.mindat.org/1:1:27494:8>
gcmin:asselbornite	Asselbornite	<https://www.mindat.org/1:1:397:9>
gcmin:astrocyanite-ce	Astrocyanite-(Ce)	<https://www.mindat.org/1:1:404:8>
gcmin:astrophyllite	Astrophyllite	<https://www.mindat.org/1:1:405:7>
<https://w3id.org/geochem/1.0/mingroup/46962>	Astrophyllite Group	<https://www.mindat.org/1:1:46962:5>
<https://w3id.org/geochem/1.0/mingroup/29273>	Astrophyllite Supergroup	<https://www.mindat.org/1:1:29273:1>
gcmin:atacamite	Atacamite	<https://www.mindat.org/1:1:406:6>
<https://w3id.org/geochem/1.0/mingroup/39924>	Atacamite Group	<https://www.mindat.org/1:1:39924:7>
gcmin:atelestite	Atelestite	<https://www.mindat.org/1:1:407:5>
<https://w3id.org/geochem/1.0/mingroup/40217>	Atelestite Group	<https://www.mindat.org/1:1:40217:0>
gcmin:atelisite-y	Atelisite-(Y)	<https://www.mindat.org/1:1:42350:8>
gcmin:atencioite	Atencioite	<https://www.mindat.org/1:1:27433:7>
gcmin:athabascaite	Athabascaite	<https://www.mindat.org/1:1:408:4>
gcmin:atheneite	Atheneite	<https://www.mindat.org/1:1:409:3>
gcmin:atlasovite	Atlasovite	<https://www.mindat.org/1:1:412:7>
gcmin:atokite	Atokite	<https://www.mindat.org/1:1:413:6>
gcmin:attakolite	Attakolite	<https://www.mindat.org/1:1:415:4>
gcmin:attikaite	Attikaite	<https://www.mindat.org/1:1:30778:7>
gcmin:aubertite	Aubertite	<https://www.mindat.org/1:1:416:3>
<https://w3id.org/geochem/1.0/mingroup/42722>	Aubertite Group	<https://www.mindat.org/1:1:42722:1>
gcmin:augelite	Augelite	<https://www.mindat.org/1:1:451:6>
gcmin:augite	Augite	<https://www.mindat.org/1:1:419:0>
gcmin:auriacusite	Auriacusite	<https://www.mindat.org/1:1:39638:3>
gcmin:aurichalcite	Aurichalcite	<https://www.mindat.org/1:1:422:4>
gcmin:auricupride	Auricupride	<https://www.mindat.org/1:1:423:3>
<https://w3id.org/geochem/1.0/mingroup/50246>	Auricupride Subgroup	<https://www.mindat.org/1:1:50246:1>
gcmin:aurihydrargyrumite	Aurihydrargyrumite	<https://www.mindat.org/1:1:51827:7>
gcmin:aurivilliusite	Aurivilliusite	<https://www.mindat.org/1:1:26525:0>
gcmin:aurorite	Aurorite	<https://www.mindat.org/1:1:428:8>
gcmin:aurostibite	Aurostibite	<https://www.mindat.org/1:1:430:3>
gcmin:austinite	Austinite	<https://www.mindat.org/1:1:432:1>
gcmin:autunite	Autunite	<https://www.mindat.org/1:1:433:0>
<https://w3id.org/geochem/1.0/mingroup/29274>	Autunite Group	<https://www.mindat.org/1:1:29274:0>
gcmin:avdoninite	Avdoninite	<https://www.mindat.org/1:1:27388:8>
gcmin:averievite	Averievite	<https://www.mindat.org/1:1:6811:2>
gcmin:avicennite	Avicennite	<https://www.mindat.org/1:1:437:6>
gcmin:avogadrite	Avogadrite	<https://www.mindat.org/1:1:438:5>
gcmin:awaruite	Awaruite	<https://www.mindat.org/1:1:439:4>
