"locality","locality_description"
NULL,"Calcutteroo C-3 kimberlite, 26 km ENE of Terowie"
NULL,"Caldasde"
NULL,"Caldbeck"
NULL,"Caldbeck Fells"
NULL,"Caldbeck Fells, Brandy Gill"
NULL,"Caldbeck Fells, Cumberland"
NULL,"Caldbeck Fells, Cumbria"
NULL,"Caldbeck Fells, Keswick (Near)"
NULL,"Caldbeck Fells, Orygill"
NULL,"Caldbeck Fells, Roughton Gill"
NULL,"Caldera"
NULL,"Caldera 3"
NULL,"Caldera 4"
NULL,"Caldera 5"
NULL,"Caldera 5, In Vicinity Of Shiveluch Volcano"
NULL,"Caldera 5, Ksudach Massif"
NULL,"Caldera Interior, Prehistoric Pre-1947 but very young flow at extreme NE end of SE bench. 965M SE bench pahoehoe flow, post prehistoric collapse"
NULL,"Caldera Interior, Prehistoric: 12 ton block on WNW caldera rim, thrown from western block in 1968 eruption. (1325 m) 12 ton block ejected in 1968 eruption from 275/1.9/<750M"
NULL,"Caldera Interior, Prehistoric: circumferential dike at 1185 m elevation below sample B, glassy selvage"
NULL,"Caldera Interior, Prehistoric: flow at 1275 m elevation on WNW caldera wall (highest flow in route to caldera floor). 1280 m below red scoria of hightest flow under pyroclastics"
NULL,"Caldera Interior, Prehistoric: young, dark, thin pahoehoe near NW caldera rim"
NULL,"Caldera Interior, Uncertain Sources including Segregation veins: Float , segregation vein in sample Ha. 1280M Pegmatitic xenoliths from uppermost flow on descent route"
NULL,"Caldera Interior, Uncertain Sources including Segregation veins: Float host for vein sample Hb, 1280 m elevation platform on WNW rim"
NULL,"Caldera Interior, Uncertain Sources including segregation veins: near ""hanging valley"" area, south caldera wall flow"
NULL,"Caldera Interior, Uncertain Sources Including Segregation Veins: obsidian float in wash entering playa on NW"
NULL,"Caldera Interior, Uncertain Sources Including Segregation Veins: west playa block, segregation vein like that in sample Ha"
NULL,"Caldera Interior, Uncertain Sources Including Segregation Veins: west playa, large block dislodged from caldera wall, host of sample Gb"
NULL,"Caldera lake island. Steep cliff into lake, sample collected by reaching over ledge with shovel"
NULL,"Caldera rim near Morne La Croix"
NULL,"Caldera Uzon, Kamchatka Peninsula"
NULL,"Caldera. 30 M. E. Of Trail, Caldera Floor"
NULL,"Caldera. 40 M. S. Of Crater Rim Road, S. Halemaumau"
NULL,"Caldera. 50 Ft. S. From W. End Of Line Of Fountains"
NULL,"Caldera. About 100 Ft N. Of W. End Of Main Fissure"
NULL,"Caldera. About 5 M Nw Of Sw End Of Eruptive Fissure (at Bend In Fissure)"
NULL,"Caldera. Approx. Midway Along Fissure F On Caldera Floor (about 300 M. E. Of Halemaumau Parking Lot)"
NULL,"Caldera. Caldera Floor"
NULL,"Caldera. Caldera Floor, E-most Vent"
NULL,"Caldera. Caldera Floor, Mid Vent"
NULL,"Caldera. Caldera Floor, W-most Vent"
NULL,"Caldera. Center Stream Of Shark-skin Pahoehoe Flow Channel In Floor Of Keanakakoi Pit Crater About 150 M. From W. Edge Of Crater"
NULL,"Caldera. Channel Bud Into Kilauea From Fissure Upper Banks"
NULL,"Caldera. Coll. From Side Of Crack About 75 Cm. Below Surface Of Floor Of Central Part Of Keanakakoi Pit Crater"
NULL,"Caldera. Coll. From Surface Of Central Part Of Main Spatter Rampart In Keanakakoi, E. Edge Of Crater"
NULL,"Caldera. Coll. From Surface Of Isolated Little Spire Adjacent To Central Part Of Main Spatter Rampart In Keanakakoi, E. Edge Of Crater"
NULL,"Caldera. Coll. From Vent (e. End Fissure A) About 150 M. Nw Of Lua Manu"
NULL,"Caldera. Coll. In Crack 10 Cm. Below Surface Of Floor Of Central Part Of Keanakakoi Pit Crater"
NULL,"Caldera. Coll. On Crater Rim Road, Downwind From Vents"
NULL,"Caldera. Cone Next To Rim Of Halemaumau On Ne Side"
NULL,"Caldera. Crater Rim Rd., Immed. W. Of Western Edge Of Lava Crossing Road"
NULL,"Caldera. Downward (se) From Spatter Cone (fissure F) Of Kil-774-6a"
NULL,"Caldera. E. End Of Fissure D Btwn Crater Rim Rd & 8-14-71 Fissure Near Keanakakoi"
NULL,"Caldera. E. End Of Fissure System A, W. Of Chain Of Craters Rd"
NULL,"Caldera. Eastern Fissure Across Road From Keanakakoi"
NULL,"Caldera. Easternmost Tip Of Terminus Of Flow Fed By Fissure A"
NULL,"Caldera. Erupted From Eastern Line Of Fountains: Coll. 75 M N Of Caldera Wall, 920 M(?) Nw Keanakakoi, 200 M Nne Of Gully That Descends Into Caldera"
NULL,"Caldera. Fissure E, West (outside) Of Keanakakoi"
NULL,"Caldera. Floor Of Central Part Of Keanakakoi Pit Crater"
NULL,"Caldera. Floor Of Keanakakoi Pit Crater, 50 M. W. Of E. Edge Of Crater Wall & From Main Spatter Rampart"
NULL,"Caldera. Halemaumau Floor, From Vent 1"
NULL,"Caldera. Halemaumau Floor, From Vent 2"
NULL,"Caldera. Halemaumau Floor, From Vent 2 (easternmost)"
NULL,"Caldera. Halemaumau Floor, Vent 3"
NULL,"Caldera. Keanakakoi, Middle Fissure (?)"
NULL,"Caldera. Kilauea Caldera Floor"
NULL,"Caldera. Late Spatter On Last Flow At Base Of Cone At E. End Of W. Line Of Cones"
NULL,"Caldera. Late Spatter On Latest Flow At Base Of Spatter Cone Near E. End Of Fissures About 75 M From Caldera Fault Scarps"
NULL,"Caldera. N. Side Of E. End Of W. Fissure N. Of Keanakakoi (fissure C)"
NULL,"Caldera. Ne-most Vent On Caldera Floor (about 10 M From Halemaumau Rim)"
NULL,"Caldera. Ne End Of Main (western) Fissure Across Road From Keanakakoi"
NULL,"Caldera. Nw Corner Of Fountains On Floor Of Kilauea"
NULL,"Caldera. Pt. Approx. Midway Along Fissure A Btwn Lua Manu + Keanakakoi Crater"
NULL,"Caldera. S. Rim Of Caldera, E. End Of Fissure C On Caldera Floor"
NULL,"Caldera. S. Rim Of Caldera, E. End Of Fissure G Outside Caldera, Near Keanakakoi"
NULL,"Caldera. S. Side Of E. End Of Next To Easternmost Fissure N. Of Keanakakoi"
NULL,"Caldera. S. Side Of E. End Of Next To Easternmost Fissure N. Of Keanakakoi (fissure E)"
NULL,"Caldera. S. Tip Of Terminus Flow Fed By Fissure H"
NULL,"Caldera. Southernmost Tip Of Flow Fed By 9-19-74 Fissure System"
NULL,"Caldera. Spatter Cone 435 (?) Ft. E. From W. End Of Fissures"
NULL,"Caldera. Vent On E Rim Of Halemaumau"
NULL,"Caldera. W. End Of Fissure H, E. Of Chain Of Craters Rd"
NULL,"Caldera/Sw Rift Zone"
NULL,"Caldera/Sw Rift Zone. Fountain #4"
NULL,"Caldwell"
NULL,"Caledonia Mine"
NULL,"Caleza, Las Trajes"
NULL,"Calf Canyon Road N Of Salinas River"
NULL,"Calf Mesa; San Rafael Swell"
NULL,"Calhao"
NULL,"Calico"
NULL,"Calico (Near)"
NULL,"Calico Amygdaloid Lode"
NULL,"Calico Hills, Borate"
NULL,"Calico Mtn"
NULL,"Calico Mtns"
NULL,"Calico Mtns., Mule Canyon; Borate"
NULL,"Calico Mtns., Sulfur Hole"
NULL,"Calico Mtns.; Borate"
NULL,"California (Near)"
NULL,"California Gulch ?"
NULL,"California Hill"
NULL,"California Hot Springs (12 Mi. S.E.)"
NULL,"California Mesa"
NULL,"California Mtns.; Silverton Quadrangle"
NULL,"California Or Marguerite Shaft"
NULL,"California Quadrangle, Randsburg (Nw1/4 Sec 31 T28s R41e)"
NULL,"California Works"
NULL,"California, California"
NULL,"Calipooha Range, Bohemia Peak; Bohemia"
NULL,"Calispell Peak"
NULL,"Callahan (Near)"
NULL,"Callahurasi"
NULL,"Callaway Co"
NULL,"Callawonga Creek"
NULL,"Callenberg, St. Egidien (nr.)"
NULL,"Callington"
NULL,"Calliope Mine; From mine shaft 300 feet from portal of Chief Tunnel"
NULL,"Calliope Mine; From the intermediate level of the mine"
NULL,"Callipampa (7-8 Leagues E Of)"
NULL,"Callipampa (Near)"
NULL,"Calobogie"
NULL,"Caloosahatchee River (S Bank Of); Fort Meyers"
NULL,"Calote, Agrigento"
NULL,"Calsers Head"
NULL,"Calstock, Hingston Donni Console"
NULL,"Calstock, Hingston Downs"
NULL,"Caltanissetta"
NULL,"Caltanissetta, Assoro"
NULL,"Calumet"
NULL,"Calumet (Near)"
NULL,"Calumet (Nr)"
NULL,"Caluyo"
NULL,"Caluyo, Mohoza"
NULL,"Calvados, Villers"
NULL,"Calvarienberg, Poppeuhausen"
NULL,"Calvary"
NULL,"Calvert Cliffs"
NULL,"Calvert Cliffs on the Potomac River"
NULL,"Calvert Cliffs, Governor Run (Near)"
NULL,"Calville Wash"
NULL,"Calvillo Santa Rosa"
NULL,"Calvin"
NULL,"Calvinia"
NULL,"Calvinia, Bloedzuigersfontein"
NULL,"Camaguey-Oriente"
NULL,"Camaguey (12 Mi E Of), El Yman"
NULL,"Camaldoli Di Torre Del Greco"
NULL,"Camalsite 3 Mi. Nw Of Orofino"
NULL,"Camarera"
NULL,"Camargo"
NULL,"Camargo, Santander"
NULL,"Camarones"
NULL,"Camas Land"
NULL,"Camas Mor"
NULL,"Camassari"
NULL,"Cambay"
NULL,"Cambo"
NULL,"Camborne"
NULL,"Camborne (Near)"
NULL,"Cambria Pines"
NULL,"Cambridge"
NULL,"Cambridge Hills"
NULL,"Camden"
NULL,"Camel Track site"
NULL,"Camel Track site; from gulch and fall 200 yrds W of site"
NULL,"Camelback Ridge, knob 0.07 mi E of hill 2842"
NULL,"Camen"
NULL,"Camerata"
NULL,"Cameron"
NULL,"Cameron Amphitheater (n Side)"
NULL,"Cameron Amphitheatre"
NULL,"Cameron Brook Pluton"
NULL,"Camillus"
NULL,"Cammilus"
NULL,"Camp"
NULL,"Camp 6 (e Of); E Of Moreland"
NULL,"Camp 7, Street B"
NULL,"Camp 7, Street C, 8.3 km from South End"
NULL,"Camp At Maitland"
NULL,"Camp Bird"
NULL,"Camp Bird Mine"
NULL,"Camp Bird Mine; From 700 foot raise 1400 feet east of cross-cut tunnel on the 300 foot level of King's Stope"
NULL,"Camp Bird Mine; From back of small stope 45 feet above east drift of the lowest drift of the mine"
NULL,"Camp Bird Mine; From back of stope and on hanging wall of King's Stope east of raise"
NULL,"Camp Bird Mine; From center of stope in King's Stope"
NULL,"Camp Bird Mine; From the 300 level dump of the mine"
NULL,"Camp Bird Mine; From the 300 level dump; probably from the west drift on the Camp Bird vein"
NULL,"Camp Bird Mine; From the 300 level on the east drift of the mine"
NULL,"Camp Bird Mine; From the 900 level of the mine"
NULL,"Camp Bird Mine; From the dump of the lowest tunnel"
NULL,"Camp Bird Mine; From the dump pf the lowest crosscut tunnel"
NULL,"Camp Bird Mine; From the footwall of the 300 level of the mine"
NULL,"Camp Bird Mine; From the footwall split of the 300 level drift"
NULL,"Camp Bird Mine; From the third level dump of the mine"
NULL,"Camp Bird Mine; In the west drift on the Camp Bird vein of the lowest drift of the mine"
NULL,"Camp Bird Mine; Third level"
NULL,"Camp Creek Rd Quarry"
NULL,"Camp Floyd"
NULL,"Camp Floyd (Near)"
NULL,"Camp Meeker Area"
NULL,"Camp Meeker Area Near Head Duval Creek; Near San Francisco"
NULL,"Camp Ntufia, Region De Sukumakanga, Maniema District"
NULL,"Camp On Moraine"
NULL,"Camp Signal"
NULL,"Camp Verde"
NULL,"Camp Verde (18 Miles Ne Of)"
NULL,"Camp Washington"
NULL,"Campagnano"
NULL,"Campagnano Di Roma"
NULL,"Campaie Hills; Stirling"
NULL,"Campania Bluff; Fiano (Near)"
NULL,"Campbell Gulch, NE side at +11100, near creek. Overlain by Cooper (?) rhyolite, near granite fault contact"
NULL,"Campbell Quarry, Marriottsville"
NULL,"Campbell River (12.3 Mi. N Of), Menzies Bay"
NULL,"Campene, Maniema District"
NULL,"Campground"
NULL,"Campi Flegrei, Pianvra"
NULL,"Campiglia"
NULL,"Campiglia (Marittima ?), Livorno Province"
NULL,"Campiglia (near), Marittima"
NULL,"Campiglia Marittima"
NULL,"Campiglia Marittima, Concession Lang"
NULL,"Campitello (Near), Val Di Fassa, Trento Province (?)"
NULL,"Campo"
NULL,"Campo (Near)"
NULL,"Campo (Near), Baja"
NULL,"Campo de Calatrara (Ibarrola) ""Al E. del Collado 694"""
NULL,"Campo de Calatrava (Ibarrola) ""Cantera de la Colade de la Vaquesiza en el Camino del Rincor"""
NULL,"Campo de Calatrava (Ibarrola) ""Cantera km 23,100; Carretesa Argamasilla del Ray junto a la fabinca"""
NULL,"Campo de Calatrava (Ibarrola) ""Cesso de la Plata al. E. de km 181. Cindad-Toledo"""
NULL,"Campo de Calatrava (Ibarrola) ""Cumbres del lufizal"""
NULL,"Campo Sportivo; 3.7 km ENE of Gran Cono (Central Cone Vesuvius)"
NULL,"Campo Sportivo; 4.25 km SW of Gran Cono (Central Cone Vesuvius)"
NULL,"Campoalegre section. Approximately 28 km S30W of Neiva according to map in Howe (1974)"
NULL,"Campolongo"
NULL,"Campolongo, Saint Gotthard"
NULL,"Campolunge"
NULL,"Campolungo"
NULL,"Campton"
NULL,"Camsell River; Terra Mining District"
NULL,"Can Pey"
NULL,"Canaan"
NULL,"Canada Ca., Canada Ca"
NULL,"Canada Ca., Canada Ca. Labrador."
NULL,"Canada Ca., Manitoba, Canada Ca. Shatford Lake."
NULL,"Canada Ca., Ontario Ca., Canada Ca. Thunder Bay."
NULL,"Canada Ca., Ontario, Canada Ca. Timmins."
NULL,"Canada Shore"
NULL,"Canada Talc Co"
NULL,"Canadas Piletas Canyon Marble Quarry, Bufa del Dreute, NE Mexico"
NULL,"Canadian Co"
NULL,"Canadian Copper Co"
NULL,"Canadian Copper Company"
NULL,"Canadian River (W Bank); Panhandle Region"
NULL,"Canadian River Valley; Ady"
NULL,"Canadian River; Camp Supply (E Of)"
NULL,"Canal Zone"
NULL,"Canal Zone, Ballah"
NULL,"Canala"
NULL,"Cananea"
NULL,"Cananea (?)"
NULL,"Cananea (Near)"
NULL,"Cananea Central Special, 640 Feet Sw Of Cananea Central Shaft"
NULL,"Canavieiras"
NULL,"Canberra (35 Mi. Nnw Of)"
NULL,"Canberra (40 Mi. Ese Of)"
NULL,"Canberra (60 Mi. Wnw Of)"
NULL,"Canberra (60 Mi. Wnw Of) - Jones Creek"
NULL,"Cancrinite Hill"
NULL,"Cancrinite Hill; Dungannon"
NULL,"Candaleria Mining District"
NULL,"Candamena"
NULL,"Candarave"
NULL,"Candelaria"
NULL,"Cander"
NULL,"Canderela Area (Nw)"
NULL,"Candler; Near Evington"
NULL,"Candlewood Hill, Center, Groton, Conception Bay"
NULL,"Candoglia"
NULL,"Candon; from a small basalt plug in shale/sandstone"
NULL,"Cane And New York Gulch"
NULL,"Cane Creek"
NULL,"Cane Creek near Moab"
NULL,"Cane Creek; Moab (Near)"
NULL,"Cane Springs Pass; Moab (16 Mi Se Of)"
NULL,"Canerai de le Fuente del Avzollar"
NULL,"Canete (S Of), Stream (Near), Concepcion"
NULL,"Caniur"
NULL,"Cannan"
NULL,"Cannasde Senhorim"
NULL,"Cannon's Point; Near Essex"
NULL,"Cannon Ball River Lignite Beds"
NULL,"Canoas"
NULL,"Canon City"
NULL,"Canon City (13 Miles Nw Of)"
NULL,"Canon City (Near)"
NULL,"Canon Diablo"
NULL,"Canon Of Hausen Creek"
NULL,"Canon Pintado (Painted Canyon)"
NULL,"Canones Trig Mesa, S end; Canones Mesa, W side of N end"
NULL,"Canta"
NULL,"Cantera Juanona, Anteguera"
NULL,"Cantera Los Gallegos, La Cabrera"
NULL,"Cantera Station, Isabel"
NULL,"Canteras Del Reservoira"
NULL,"Canterbury Hill, At Depth Of 135 Ft"
NULL,"Canterbury Mine"
NULL,"Canterbury, Lyttleton"
NULL,"Cantern"
NULL,"Cantley"
NULL,"Canto Mining Co"
NULL,"Canton"
NULL,"Canton (Near)"
NULL,"Canton Schuyz; Near Lake Geneva"
NULL,"Canton Uri, Schachental"
NULL,"Canton Uri, Windgalle"
NULL,"Canuchin"
NULL,"Canyon Below Oro Cache"
NULL,"Canyon City"
NULL,"Canyon City (S), Rockvale"
NULL,"Canyon Creek"
NULL,"Canyon Creek; Falls above Camp Bird road, on creek near switchback in road"
NULL,"Canyon Diablo"
NULL,"Canyon Diablo Meteorite Fall"
NULL,"Canyon Divide North, W side of Lloyd-Leroy road, 2 km NE of Corrigan Mtn; SW SW NE 19, T28N, R19E"
NULL,"Canyon Divide South, 2.1 km NE of Corrigan Mtn; center E 1/2 19, T28N, R19E"
NULL,"Canyon E of Chamisa at 7020 feet"
NULL,"Canyon extending E. from Great Fountain Geyser"
NULL,"Canyon N of Manning Flat"
NULL,"Canyon N. E. of the Elephants Back"
NULL,"canyon next N of Sanchez; 1 mi SE of St. Paul's Dome"
NULL,"Canyon next south of one with hot lake at its mouth on east side of Lower Geyser Basin"
NULL,"Canyon next south of one with lake at its mouth on east side of Lower Geyser Basin"
NULL,"Canyon Nw Of Little Kachess Lake"
NULL,"Canyon Of Grand River Above Glenwood Springs"
NULL,"Canyon of Henson Creek at narrows above mouth of El Paso Creek. By roadside"
NULL,"Canyon of Lava Creek"
NULL,"Canyon of Pinto Creek; BM3144 along Horrell Ranch Rd S27W 3850 feet"
NULL,"Canyon Of The Arkansas"
NULL,"Canyon on Yellowstone River next N. of Alum Creek"
NULL,"Canyon Pintado"
NULL,"Canyon S Of W End San Luis Valley"
NULL,"Canyon S. of Lower Geyser Basin"
NULL,"Canyon San Diego, E Side Jemez Springs"
NULL,"Canyon W. Of Quartz Creek"
NULL,"Canyon Which Borders Lava Flow"
NULL,"Canzacoli"
NULL,"Canzacoli, Predazzo"
NULL,"Canzdcoli"
NULL,"Canzdcoli, Val Di Fassa"
NULL,"Canzoccoli Quarry above Predazzo"
NULL,"Canzoccoli Quarry outside Predazzo"
NULL,"Canzocoli"
NULL,"Caobang, Tin Tuck, Tonkin"
NULL,"Caojia, Rucheng Co"
NULL,"Cap-Blanc-Nez"
NULL,"Cap Bove Vulcano Vulsini, 1500 meters south of Bolsena"
NULL,"Cap Corse"
NULL,"Cap Garonne"
NULL,"Cap Garonne (Probably)"
NULL,"Cap Garonne, Toulon (Near)"
NULL,"Cap Garrone"
NULL,"Cap Of Hill Between Road Junction E Of Northern Spy And And-rhy R.r. Cut"
NULL,"Cap On Divide, Yel J To Forney Road"
NULL,"Cap Rock Between Susanville And Hayden Hill"
NULL,"Cap Rock N Of Giroux, E-w Rd"
NULL,"Cap Rock Of Mnts W Of Olinghouse"
NULL,"cap rock on ridge"
NULL,"cap rock on ridge on W side of canyon"
NULL,"Cap Rock, Excelsior Mtns Sw Of Lunig"
NULL,"Cap Shank"
NULL,"Capaello Quarry, near Santa Rufina"
NULL,"Capao Do Lane"
NULL,"Capco"
NULL,"Cape Ann"
NULL,"Cape Ann; Rockport"
NULL,"Cape Blomiden"
NULL,"Cape Blomidon"
NULL,"Cape Blomidon, Bay of Fundy"
NULL,"Cape Blomidon, Minas Basin"
NULL,"Cape Breton"
NULL,"Cape Breton; Sidney Coalfield"
NULL,"Cape Calamita, Elba"
NULL,"Cape Cavallo"
NULL,"Cape Coral"
NULL,"Cape Cornwall (Near); Saint Just"
NULL,"Cape Creek; Tin City Area"
NULL,"Cape Cross"
NULL,"Cape d'Or"
NULL,"Cape D'or"
NULL,"Cape D'Or"
NULL,"Cape d'Or, Bay of Fundy"
NULL,"Cape D'Or, Minas Basin"
NULL,"Cape Dyer (Near), Point Hope (N)"
NULL,"Cape Fowlweather, Gakima Bay"
NULL,"Cape Hammond"
NULL,"Cape Hold With Hope; Tunu (E)"
NULL,"Cape Jervis"
NULL,"Cape La Redemption; Conoma"
NULL,"Cape Lookout"
NULL,"Cape Manuel"
NULL,"Cape May"
NULL,"Cape Mining District"
NULL,"Cape Mondego"
NULL,"Cape Mount Norite Body"
NULL,"Cape Mtns"
NULL,"Cape Nome Beach"
NULL,"Cape Northumberland"
NULL,"Cape Of Good Hope"
NULL,"Cape Of Good Hope; Bradock"
NULL,"Cape Of S; Sw Of Hope"
NULL,"Cape Province"
NULL,"Cape Province (north)"
NULL,"Cape Province (northern)"
NULL,"Cape Province; Postmasburg"
NULL,"Cape Royds (?)"
NULL,"Cape S. Of Granite Creek"
NULL,"Cape Split"
NULL,"Cape Town, German South West Africa, German South West Africa"
NULL,"Cape Tshipunski, USSR, Russian Sfsr, USSR. South of Cape Tshipunski on the Kamchatka Peninsula."
NULL,"Cape Vancouver"
NULL,"Cape Verde"
NULL,"Cape Vogel"
NULL,"Cape York"
NULL,"Cape York Peninsula"
NULL,"Capel Bettus, Carmathen, Dyfed"
NULL,"Capelinhos"
NULL,"Capileira, Sierra Nevada"
NULL,"Capileira, Sierra Nevada, Granada"
NULL,"Capillitas"
NULL,"Capitan Mtns.; Lincoln (Near)"
NULL,"Capitana, Porpez"
NULL,"Capitol Dome; 12 Mi Se Of Deming"
NULL,"Capitol Peaks (7 Mi E And N Of)"
NULL,"Capitol Reef"
NULL,"Capitol Reefs District"
NULL,"Capland"
NULL,"Capland, Prieska"
NULL,"Capland, Upington (Near), Gordonia"
NULL,"Caplja, Yugoslavia, Yugoslavia"
NULL,"Capo Calamita, Elba, Livorno"
NULL,"Capo di Bove"
NULL,"Capo Di Bove"
NULL,"Capo Di Bove, Roma (Near), Roma Province"
NULL,"Capo Di Bove, Roma (Near), Roma Province (?)"
NULL,"Capo Di Bove, Roma Province"
NULL,"Capo Di Bove, Via Appia Antica (Along), Roma (Near), Roma Province"
NULL,"Capo Di Bove, Via Appia Antica (Along), Roma Province"
NULL,"Capo Di Miseno"
NULL,"Capo Pula"
NULL,"Capoliveri, Elba, Livorno Province"
NULL,"Caporcia"
NULL,"Caporcia, Stream Bed"
NULL,"Cappella Nuova; 4.2 km S of Gran Cono (Central Cone Vesuvius)"
NULL,"Capping Hill Nw Of Deadhorse Shaft"
NULL,"capping knob 1/2 mi S Sulfur Spring"
NULL,"Capping point of plateau south of Flint Creek"
NULL,"capping ridge between upper Hondo canyon and La Jara Canyon; N of '3 Peaks' (Tres Cerros)"
NULL,"Capreol Con 3 Lot 1"
NULL,"Capreol Con I Lot 2"
NULL,"Caprock Of Site 35b5"
NULL,"Captain Kidds Cove"
NULL,"Captain Mtns.; Lincoln (Near)"
NULL,"Capuccini Vetralla"
NULL,"Cara Tuvomartes, Scano"
NULL,"Carabais"
NULL,"Caracas Region"
NULL,"Caracas Region, 3 km W of Mariposa"
NULL,"Caracas Region, Boqueron"
NULL,"Caracas Region, Curicuti, Lower La Guara Road"
NULL,"Caracas Region, La Guaira road"
NULL,"Caracas Region, Las Adjuntas"
NULL,"Caracas Region, Los Castillitos"
NULL,"Caracas Region, Macanao"
NULL,"Caracas Region, N of Catue"
NULL,"Caracas Region, near Curucuti, old road to La Guaira"
NULL,"Caracas Region, north side of the Tucagua valley, small quarry"
NULL,"Caracas Region, Paria Peninsula"
NULL,"Caracas Region, Pena de Mora"
NULL,"Caracas Region, Picacho de Galipan"
NULL,"Caracas Region, quarry at La Mariposa"
NULL,"Caracas Region, Quebrada Chacaita"
NULL,"Caracas Region, Quebrada Tacagua"
NULL,"Caracas Region, Quebrade Mutatal"
NULL,"Caracas Region, Rio Curucuti"
NULL,"Caracas Region, Rio Mamo"
NULL,"Caracas Region, Rio Mulatos, about 600 meters upstream from Punta Mulatos"
NULL,"Caracas Region, Rio Tacagua"
NULL,"Caracas Region, Road to Arva from Marin"
NULL,"Caracas Region, Tacagua Creek, 0.5 km downstream from the junction with Tacagua Arriba"
NULL,"Caracas Region, Topo Palmar de Asucar"
NULL,"Caracas Region, Zende"
NULL,"Carachilas"
NULL,"Caracoles"
NULL,"Caracoles (Near), Sierra De Limon Verde"
NULL,"Caracoles (Near), Sierra Gorda"
NULL,"Caracoles, Sierra De La Caparrosa"
NULL,"Caracoles, Sierra Gorda"
NULL,"Caracollo; Soledad (24 Km E Of), Cercado"
NULL,"Carandahy"
NULL,"Carangas"
NULL,"Carathuri, Myanmar [Burma], Tenasserim, Myanmar [Burma]"
NULL,"Caravaca"
NULL,"Caravaca, Corte De Carretara"
NULL,"Caravia"
NULL,"Carbon Peak, east slope"
NULL,"Carbonate-metasomatized eclogite"
NULL,"Carbonate Camp, 9 mi W of Deadwood, South Dakota"
NULL,"Carbonate Camp, Near"
NULL,"Carbonate Group"
NULL,"Carbonate Hill"
NULL,"Carbonate Hill Prospect"
NULL,"Carbonate King Mine"
NULL,"Carbonated Hill"
NULL,"Carbonatite Core Of No. 1 Dike In Open Pit"
NULL,"Carbonatite No. 1 Dike, Core Zone Adit"
NULL,"Carbonatite Vein No. 2 Prospect"
NULL,"Carbonatite Vein, Coarse Part, No. 3 Prospect Pit"
NULL,"Carbonatite Vein, No. 2 Prospect"
NULL,"Carbonatite Vein, No. 3 Prospect Pit"
NULL,"Carbonatite Vein, No. 5 Prospect Pit"
NULL,"Carbonatite Vien, No. 3 Prospect Pit"
NULL,"Carbondale River; Township 5, Range 4, Wem, Crowsnest Farm"
NULL,"Carboniferouso Mtns.; Teutoburger Wald, Osnabruck (Near)"
NULL,"Carcolle"
NULL,"Cardcross (Nr) - River Clyde (Dredged From)"
NULL,"Cardenas (Near)"
NULL,"Carderello"
NULL,"Cardiff"
NULL,"Cardiff (Near), Essonville"
NULL,"Cardiff Township"
NULL,"Cardiff, Lot 2, Concession 16"
NULL,"Cardiff, Rhiwbryfdir"
NULL,"Cardiff, Wilberforce (Near)"
NULL,"Cardigan Mtn.; Orange"
NULL,"Cardigan, Plynlimmon"
NULL,"Cardiganshire, Plynlimmon Area"
NULL,"Cardin"
NULL,"Cardin Dike"
NULL,"Cardona, Barcelona"
NULL,"Cardwell, Pony"
NULL,"Carey"
NULL,"Cargo Muchacho Mtns"
NULL,"Cargo Muchacho Mtns., Vitrefox Hill"
NULL,"Cargo Muchacho Mtns.; Bluebird Hill"
NULL,"Cargo Muchacho Mtns.; Ogilby (Near)"
NULL,"Cariboo District"
NULL,"Caribou Pit; Coleraine"
NULL,"Carizo Mtns"
NULL,"Carletonville"
NULL,"Carlile (Drill Core Fr)"
NULL,"Carlin (10 Mi W Of)"
NULL,"Carlin (10 Mi W)"
NULL,"Carlingford"
NULL,"Carlingford, Carlingford Lough (Near) (?)"
NULL,"Carlisle"
NULL,"Carlisle (Near), Mount Holly Springs"
NULL,"Carlisle, Mount Holly Springs"
NULL,"Carls Tunnel, S Of Deer Creek, Above Providence Ditch"
NULL,"Carlsbad"
NULL,"Carlsbad (12 Mi Ne Of)"
NULL,"Carlsbad (18 Mi Ne Of)"
NULL,"Carlsbad (About 20 Mi E Of)"
NULL,"Carlsbad Cavern"
NULL,"Carlsbad Cavern (Big Room)"
NULL,"Carlsbad dist"
NULL,"Carlsbad, Czechoslovakia, Czechoslovakia"
NULL,"Carlsberg Ridge"
NULL,"Carlsberg Ridge; Crest Of Carlsberg Ridge"
NULL,"Carlton"
NULL,"Carlton deposit"
NULL,"Carlton Shaft"
NULL,"Carm Urugag, near Lon Ostatoin, Creag Orril, Creag Iar"
NULL,"Carmaux, Rosieres (Near)"
NULL,"Carmel"
NULL,"Carmel Bay"
NULL,"Carmen Pampa"
NULL,"Carmenes"
NULL,"Carmenes, Leon"
NULL,"Carmenes, Villamanin, Leon"
NULL,"Carmine"
NULL,"Carn Brea, Illogen"
NULL,"Carnaiba"
NULL,"Carnaresa, Larium (Near)"
NULL,"Carnauba Dos Dantas"
NULL,"Carnauba Dos Dantas, Ermo"
NULL,"Carnauba Dos Dantes"
NULL,"Carnbay"
NULL,"Carneal"
NULL,"Carnegie Hole 2; Yellowstone National Park"
NULL,"Carnelian Bay"
NULL,"Carnero. By road of mouth of Poso Creek"
NULL,"Carniola, Idria"
NULL,"Carniola, Litija"
NULL,"Carnotite Area"
NULL,"Carnoules, Cap Garonne"
NULL,"Carolina"
NULL,"Caroline National Park"
