"locality","locality_description"
"5-D-II New",NULL
"5-D-II Old",NULL
"5 km W of Mexico 195",NULL
"50-mile Canyon",NULL
"50 Mile",NULL
"50029201140000",NULL
"50029204760000",NULL
"50029210560000",NULL
"50029210690000",NULL
"50029211060000",NULL
"50029212850000",NULL
"50029221210000",NULL
"50029227390000",NULL
"50029232870000",NULL
"50103100020000",NULL
"50103100030000",NULL
"50223200020000",NULL
"50223200040000",NULL
"50223200260000",NULL
"50223200270000",NULL
"50223200290000",NULL
"5084868",NULL
"5098214",NULL
"5102466",NULL
"5417618",NULL
"5481136",NULL
"5483974",NULL
"5509151",NULL
"5513795",NULL
"55231000050000",NULL
"5543199",NULL
"5551752",NULL
"5596512",NULL
"57°23.27W007°20.06",NULL
"5704200",NULL
"5840426",NULL
"5879092",NULL
"5909050",NULL
"6-A-II",NULL
"6-B-I Township",NULL
"6 R District",NULL
"60 ft road Shera Kot",NULL
"60 Mile",NULL
"600m NW of Sögütcük along Antalya-Korkuteli road","Antalya-Korkuteli road, 600m NW of Sögütcük"
"6093943",NULL
"6251999",NULL
"62nd street and CPW","outcrop"
"6343",NULL
"63KAP",NULL
"63SL",NULL
"65AAM",NULL
"65HU",NULL
"65HUE",NULL
"65KAAP",NULL
"65KAI",NULL
"65KAP",NULL
"65KIHO",NULL
"65KOHA",NULL
"65LELE",NULL
"65SAL",NULL
"65th St. & 9th Ave.",NULL
"65WAIM",NULL
"66WAA",NULL
"69MAK",NULL
"69MCA",NULL
"69SAL",NULL
"69TAN",NULL
"69WIL",NULL
"6K502",NULL
"6K503",NULL
"7-Alegrias",NULL
"7 bis",NULL
"7 km NNE of  San Pedro",NULL
"7 U 7 Ranch",NULL
"70ALI",NULL
"70SAL",NULL
"71SAL",NULL
"72-Swift Res. area",NULL
"72 Kinnaid Rd Chiswick",NULL
"72HIG-15",NULL
"72HIG-20","Unnamed seamount 160 km west of Midway"
"72HIG-23",NULL
"72HIG-24",NULL
"72HIG-25",NULL
"72HIG-34",NULL
"72HIG-37",NULL
"72HIG-41",NULL
"72HIG-44",NULL
"72HIG-48",NULL
"72HIG-49",NULL
"72HIG-51",NULL
"72HIG-D4",NULL
"73-Swift Res. area",NULL
"74-Swift Res. area",NULL
"75PET",NULL
"77A","Stratigraphic section measured on roadcut along Hwy 77 from Sylvan Shale through Keel Formation (Ordovician), Cochran Formation (Silurian), Clarita Formation up into the Henryhouse Formation"
"77b","Stratigraphic section measured within a ditch along the east side of HWY 77 with samples starting in the Oil Creek formation and continuing into the the McLish formation and Tulip Creek formations."
"79 Mine",NULL
"8 Ball Mine",NULL
"8 km S of Pichucalco",NULL
"838 Muldrow Place Sloan Collection",NULL
"83rd and Riverside Park","outcrop"
"84-Jct N920 & unmark.",NULL
"85-Jct N920 & unmark.",NULL
"8854",NULL
"89-Jct N836 & N836B",NULL
"90th and Riverside Park","outcrop"
"91-AV-19/2-D11",NULL
"91-AV-19/2-D7",NULL
"91-Jct N836 & N836B",NULL
"91-Mile Canyon",NULL
"953987",NULL
"99999000010000",NULL
"9m Chimney",NULL
"A-2 Shah Fareed",NULL
"A-3 Block",NULL
"A-Block Gulshan Ravi",NULL
"A-Block Jauhar Town",NULL
"A-Block Rehmanpura",NULL
"A-Block Sabzazar",NULL
"A-Block Tajpura",NULL
"A-Block, Muslim Town",NULL
"A-I Gujjarpura",NULL
"A 836, 0.5 miles N of Bettyhill turn off",NULL
"A 836, 2 miles S. Lairg",NULL
"a little higher than DB-232",NULL
"A Mine",NULL
"A.C. Perham Quarry",NULL
"A.H. George",NULL
"A.P. Hill School",NULL
"A.T. & Minnis Mine",NULL
"Aalbeke, clay pit Kobbe (clay pit Vermeulen)",NULL
"Abancay",NULL
"Abandoned Altajme Quarries",NULL
"Abandoned Quarry",NULL
"Abandoned Quarry and Branch",NULL
"Abandoned Quarry and Roadside",NULL
"Abandoned Quarry, Bluff & Tunnel Mill",NULL
"Abandoned Quarry, Bluff, and Tunnel Mill",NULL
"Abandoned Quarry, Clifty Creek",NULL
"Abandoned Quarry, Laurel Cave Section",NULL
"Abbeline Mine",NULL
"Abbok Park",NULL
"Abbots Hollow",NULL
"Abbots Ripton",NULL
"Abbott Peak",NULL
"Abe Lincoln Mine",NULL
"Abele Spur",NULL
"Abenab Mine",NULL
"Aberdeenshire",NULL
"Aberfoyle Mine",NULL
"Abitibi Greenstone Belt",NULL
"Abner Marshall Farm",NULL
"about 25 miles NE of Aquia Creek",NULL
"above Big Salmon Lake",NULL
"above Boha",NULL
"above Chavat Church",NULL
"above Kaurinda[617.5]",NULL
"above Mathias Pt, Potomac River",NULL
"above Oi Marai",NULL
"Above Perry South CG",NULL
"above Popes Creek, Potomac River",NULL
"above Rairua",NULL
"Above Refugio Citelli",NULL
"above Summit camp",NULL
"Abra Wolsey",NULL
"Absareka Formation",NULL
"ABU-02",NULL
"ABU-06",NULL
"ABU-08",NULL
"ABU-11",NULL
"ABU-14",NULL
"ABU-16",NULL
"ABU-17",NULL
"ABU-26",NULL
"Abu Bakar",NULL
"Abundancia Mine",NULL
"Abydos, Egypt",NULL
"ABYMES",NULL
"Academy Church",NULL
"Academy for Global Citizenship",NULL
"accretionary ridge south of Astoria Canyon",NULL
"Ace-fay Mine",NULL
"Ace of Diamonds Mine",NULL
"Ace Of Diamonds Mine",NULL
"Achant Garh",NULL
"Achnaha Garden",NULL
"Aci Catena",NULL
"Acme mine","Carney Coal. 8 mi N of Sheridan"
"Acqua Acetosa",NULL
"Across river downstream of Steelhead Falls",NULL
"Actara",NULL
"Acton Mine",NULL
"Adaboroa",NULL
"Adam's Brook",NULL
"Adam Hebes Mine",NULL
"Adams Brook",NULL
"Adams Creek Field",NULL
"Adams Hill Brook",NULL
"Adams Mine",NULL
"Adams Stone Quarry",NULL
"Adare Basin","continental shelf"
"Adare Basin","edge of platform"
"Adare Basin","isolated"
"Adare Basin","large, isolated"
"Adare Basin","satellite"
"Adare Basin","small cluster"
"Adare Basin",NULL
"Adare Trough","inside trough"
"Adare Trough","scarp"
"Adare Trough",NULL
"Adda Ground",NULL
"Addis","Addis (these could be related to Sululta)"
"Addis","Afancho Ber"
"Addis","Bulbula"
"Addis","Doro Manakeya"
"Addison Road",NULL
"Adelaide Mine","No. 2 shaft"
"Adelaide Mine",NULL
"Adelie Coast",NULL
"Adervielle Mine",NULL
"Adherentina midwayensis
 type locality",NULL
"Adivoandelaka",NULL
"Adobe Valley",NULL
"Adriatic Sea - NW Brindisi",NULL
"Adriatic Sea - S/SW Capo St. Maria di Leuca",NULL
"Adriatic Sea - SW Gallipoli",NULL
"Adun-Tschon",NULL
"Adun Chilon Hills",NULL
"Aduthurai",NULL
"Advance Claim",NULL
"Adventure Mine",NULL
"Advocate","11m W from listvenite body"
"Advocate","150 m N of ""Virgin-quarry"", ulltramafic ridge"
"Advocate","20m above W of quarry-hole at parking lot at Junction"
"Advocate","At road SE of virginite quarry N of river"
"Advocate","Central part of listv body"
"Advocate","Close to road 410, 200m NNE of ""Virgin-quarry"""
"Advocate","Close to W-contact of listv body"
"Advocate","E-contact of listvenite body, Virginite ""quarry"" N of river/road junction"
"Advocate","E-side of roadcut 100m N of river"
"Advocate","E of South end of listvenite ridge exposure, S of river"
"Advocate","Lose block, same as Adv-37"
"Advocate","Quarry-hole at parking lot at Junction"
"Advocate","Roadcut 410 N of river; shortly S of small stream"
"Advocate","Roadcut 410, S of river, 150m S of junction"
"Advocate","Roadcut 410, S of river, 300m S of junction"
"Advocate","Roadcut 410, S of river, 500m S of junction"
"Advocate","Roadcut N of river"
"Advocate","South end of listvenite ridge exposure, S of river"
"Advocate","Virginite ""quarry"" N of river/road junction"
"Advocate",NULL
"Aegean Sea - S Skopelos",NULL
"Aegean Sea - SW Agion Oros",NULL
"Aegean Sea - SW Skyros",NULL
"Aeolian Buttes, Long Valley Caldera",NULL
"Afar",NULL
"Afrettara (115)",NULL
"Africa",NULL
"Afton Twp",NULL
"AG","""AG"" is a 4.3 MT barite-Zn-Ag-Pb-Au VMS deposit  located on Constantine Mining's Palmer Property in southeast Alaska. 
https://www.constantinemetals.com/projects/palmer"
"AG","""AG"" is a 4.3 MT barite-Zn-Ag-Pb-Au VMS deposit  located on Constantine Mining's Palmer Property in southeast Alaska. 
https://www.constantinemetals.com/projects/palmer "
"AG69-D19",NULL
"AG69-D3",NULL
"AG69-D4",NULL
"Agia Varvara","North-east edge of Ag. Varvara lava flow; road cut"
"Agios Andreas","East part of Ag. Andreas, directly west of Ag. Andreas lava flow; bluff ~40 m a.s.l."
"Agios Andreas","West part of Ag. Andreas; road cut"
"Agios Constantinos",NULL
"Agios Thomas","North-east slope of Ag. Thomas hill"
"Agios Thomas","South-west slope of Ag. Thomas hill"
"Agnew Meadow",NULL
"Agnew Mine",NULL
"Agnew Ni Deposit",NULL
"Agrado",NULL
"AGRI",NULL
"Agriculture Site-Goose Creek (Corn field)",NULL
"Agstone Quarry",NULL
"Agua Fria Mine",NULL
"Agua Rica project",NULL
"Aguachile Mtn.",NULL
"Aguas Calientes",NULL
"Agulhas Plateau",NULL
"Agustinas Mine",NULL
"Ahata Makhan Singh",NULL
"Ahata MoolChand No.1",NULL
"Ahata MoolChand No.2",NULL
"Ahata Thanedaran",NULL
"Ahmad Block",NULL
"Ahmed Town",NULL
"Ahmeek Mine",NULL
"Ahrnthal",NULL
"Ahumada Mine",NULL
"Aiguilles Rouges massif",NULL
"AII-Block,",NULL
"AII24-D2",NULL
"AII24-D4",NULL
"AII24-D5",NULL
"AII32-D8 (Station 74)",NULL
"Ailly Spainacien",NULL
"Aïn El Aouda",NULL
"Ain Kerma",NULL
"Ainsworth peninsula - Seño Almirantazgo",NULL
"Air-babouch",NULL
"Air Laya pit","Banko Barat, South Sumatra (Sumatera Selatan); 3 45' S 103 47' E"
"Airly Mine",NULL
"airport runway-Nedge",NULL
"Aishihik area",NULL
"Ait Ahmane Mine",NULL
"Aitken Cove",NULL
"AJ Coyler Quarry",NULL
"Ajanta Caves",NULL
"Ajax Mine",NULL
"Ajo District",NULL
"Ajo Mine",NULL
"Akadane",NULL
"Akagi volcano",NULL
"Akatani",NULL
"Akatani Mine",NULL
"Akbar Shaheed",NULL
"Akenobe Mine",NULL
"Aker",NULL
"Akhmatovskaya Mine",NULL
"Akland",NULL
"Akram Park",NULL
"Akram Park Sanda",NULL
"Akri Pounda","South-east margin of Akri Pounda; road cut"
"Akri Pounda","South-west margin of Akri Pounda; road cut"
"Akroteri-caldera",NULL
"Akuliarusiarsuup Kuua River",NULL
"Akutan",NULL
"Al-Badar",NULL
"Al-Raqqa Site",NULL
"Al Beere, Nile Trunk, Sudan",NULL
"Al Hyat Mine",NULL
"Al Khawd",NULL
"Al Madad Park Colony",NULL
"Al Wasta, north of Beni Suef, Nile Trunk, Egypt",NULL
"Alabama Hills",NULL
"Alabama River",NULL
"Alabama River at county line",NULL
"Alabama River at milepost 77.5",NULL
"Alabama River at milepost 80",NULL
"Alabama River between miles 70 and 71",NULL
"Alabama River near Claiborne Bridge",NULL
"Alabama River, near Gosport Landing",NULL
"Alacran Mine",NULL
"Alage basalt",NULL
"Alaknanda and Bhagirathi Confluence",NULL
"Alands Island",NULL
"Alasca Mine",NULL
"Alaska",NULL
"Alaska Hwy",NULL
"Alaska Mine",NULL
"Alaska Peatland Experiment, Tanana River Floodplain",NULL
"Alaskan Peatland Experiment",NULL
"Alba Iulia",NULL
"Albackhoved",NULL
"Albani Hills",NULL
"Albany core",NULL
"Albany Quarry",NULL
"Alberene Stone Division",NULL
"Albergo Sorgente",NULL
"Albericas",NULL
"Alberoda",NULL
"Albert Corlis Property",NULL
"Albert James",NULL
"Albert Mine",NULL
"Albion Island",NULL
"Albion Island Quarry",NULL
"Albion Island Quarry ",NULL
"Albion mine",NULL
"Albion Range",NULL
"Albion shaft","White's Hill. Main sheet between gray porphyry and lower Carboniferous shales"
"Albuquerque",NULL
"Alcaparrosa Mine",NULL
"Alchari",NULL
"Alcoa Mine",NULL
"Aldan Deposit",NULL
"Aldeia do Eme",NULL
"Aldeia Do Eme",NULL
"Alder Island",NULL
"Alderley-1",NULL
"Aldrich Mine",NULL
"Aldro",NULL
"Alejandria Mine",NULL
"Alesander Schaute mine",NULL
"Aleutejo",NULL
"Aleutian Arc",NULL
"Aleutian Islands",NULL
"Alexander Hills",NULL
"Alexander Island",NULL
"Alexander Mine",NULL
"Alexandra Mine",NULL
"Alexo Mine",NULL
"Alexson Brook",NULL
"Alfie's Elbow",NULL
"ALFORD ESTATE",NULL
"Alger #2 Mine",NULL
"ALGERIA",NULL
"Algoma",NULL
"Algomah Mine",NULL
"Ali Block",NULL
"Ali Park",NULL
"Ali Pura",NULL
"Alia Town",NULL
"Alibert Mine",NULL
"Alicante Gulch",NULL
"Alice Mine",NULL
"Aljustrel",NULL
"Allah Cooper Mine",NULL
"Allah Wali Masjid",NULL
"Allaire State Park C",NULL
