"locality","count"
"Ambohimanambolo","1"
"Ambohimasina","2"
"Ambohitromby","5"
"Ambotofitskely","1"
"Ambotofotsy","1"
"Ambovombe","1"
"Amboy Cone","10"
"Ambrose Mine","2"
"Ambrosia Lake","1"
"Ambush Bay","9"
"Ameise Mine","2"
"Amelia Mine","13"
"America #3 mine","3"
"American Aggregate Quarry","1"
"American Aggregates 96th St. Quarry","26"
"American Aggregates Harding St. Quarry","24"
"American Concrete Stone Nancy Quarry","3"
"American Mine","4"
"American Mineral Production Co.","1"
"American Olean Tile","2"
"American River","3"
"American Rock Wool","7"
"American Rock Wool Plant and Quarry","3"
"American Rolling Mill Co. #5 mine","2"
"American Samoa","45"
"American Tunnel","7"
"American Zinc Co.","1"
"Amesbury","1"
"Amethyst Cove","2"
"Amethyst Mine","2"
"Amie Mine","1"
"Amiendos River","1"
"Amigas","1"
"Amigos Mine","1"
"Amin Park No. 2","1"
"Amkitsikitsika","1"
"Amlings 1","1"
"Ammel Büsch","33"
"Ammohori","4"
"Ammons Pond","7"
"Amor Mine","11"
"Ampanandrava","3"
"Ampandrandava","1"
"Ampandrandave","1"
"Ampandvandava","1"
"Ampangabe","25"
"Ampanobe","1"
"Ampasimpility","1"
"Ampasipoana","8"
"Ampe quarry","4"
"Amulia mine","1"
"Amundsen Sea","312"
"Amundsen Sea, Antarctica","2"
"Amy Mc Nutt Well","2"
"An Navit Quarry","1"
"Ana Carolina","1"
"Anaconda Mine","4"
"Anahi Mine","1"
"Anak Krakatau","2"
"Analamisakama","1"
"Analamisakana","2"
"Anand Road Upper Mall","1"
"Anatonu","1"
"Anau'u","6"
"Anawai Mine","1"
"Ancient Forest","2"
"Ancon Sin Salida","5"
"Ancora well","2"
"Ancurí","1"
"Andalusia core","15"
"Andalusite Mine","4"
"Andana tea plantation","1"
"Andankatany","6"
"Andapa","1"
"Andavakohera","1"
"Anderson Lake","3"
"Anderson Mine","1"
"Anderson Rock Products","3"
"andesite of Rattlesnake Peak","8"
"Andibakely","1"
"Andilamena","1"
"Andilana","1"
"Andover Iron Mine","3"
"Andra Almeria","1"
"Andrahomana","1"
"Andranomadio","2"
"Andratiomana","1"
"Andre Lake, Labrador","6"
"Andrew's Volcano","1"
"Andrews Quarry","2"
"Andriamampy","1"
"Andriamena","2"
"Andrianampy","3"
"Androscoggin River Area","1"
"Androtgambo","1"
"Anegene Kokofu Naka Shimane","1"
"Anemometer Hill","2"
"Anemone","4"
"Anfoka","1"
"Ange Siding","2"
"Angel Lake","4"
"Angelina Sierra","1"
"Angell Farm","2"
"Anglesey","15"
"Anglo - American Mine","1"
"Angoori Bagh Scheme No.2","1"
"Angri","1"
"Ani Mine","3"
"Aniakchak","782"
"Animas","1"
"Animas Mine","11"
"Animas Mine (II)","1"
"Animas Section","2"
"Animeekie Red Ace Pegmatite","1"
"Aninoasa","1"
"Anjahamiary","1"
"Anjamiary","1"
"Anjanabonoina","26"
"Anjouan","61"
"Anka","3"
"Ankaditany","1"
"Ankaratra","1"
"Ankily","2"
"Anna_IL","10"
"Annabel Lee Mine","7"
"annabel lee mine rosiclare level","1"
"Annaberg Mine","1"
"Annandagstoppane","29"
"ANNANDALE EST","2"
"Annenkov Island","6"
"Annerod","1"
"Annie Creek Mine","3"
"Annie L Mine","1"
"Annivers Valley","1"
"Anniversary Bluff","47"
"Anniviers Valley","1"
"Annobón","20"
"Annoch Mor","1"
"Anorthosite block in Beaver Bay Complex","1"
"Anozivola","1"
"Anpasipoana","1"
"Anröchte","1"
"ANSE A COLAS","1"
"ANSE A LA BARQUE","1"
"ANSE BELLEVILLE","1"
"ANSE DU DEPOT","1"
"ANSE DU ME","1"
"ANSE GUYONNEAU","1"
"ANSE LA ROCHE","2"
"ANSE MARIGOT","1"
"Anse Pierrot","57"
"Anse Pierrot South","32"
"Anse Severe","7"
"Anse Source d'Argent","86"
"Anse Source d'Argent West","6"
"Anse Source d'Argent, La Digue Island","14"
"Anse Source D’Argent West","30"
"ANSE TURIN","1"
"Anserouleu roadcut","1"
"Antalya-Korkuteli road, 600m NW of Sögütcük","6"
"Antamboletcibe","1"
"Antamlbolehibe","1"
"Antandrokomby","1"
"Antanifotsy","1"
"Antaractic Peninsula","120"
"Antarctic Peninsula","1241"
"Antarctic Peninsula, Colins Bay","3"
"Antarctic Peninsula, Collins Bay","178"
"Antarctic Peninsula, Flandres","13"
"Antarctic Peninsula, Weddell Sea","81"
"Antarctic Pennsula, Weddell Sea","38"
"Antelope","1"
"Antelope Island Causeway","8"
"Anthony's Nose","3"
"Anthony Charlton Claim","1"
"Antigonish Highlands","4"
"Antler Mine","2"
"ANTOINE RIVER","1"
"Antongodrahoju","1"
"Antoni Mine","1"
"Antonio Pereira","3"
"Antosongombato","1"
"Antsanfibato","1"
"Antsirana","1"
"Antsongombato","2"
"Anvers Island Area","40"
"Anvil Lake","3"
"Aoakawa Mine","1"
"Aoker","1"
"AON-03","1"
"AON-04","1"
"AON-05","1"
"AON-06","1"
"AON-07","1"
"AON-08","1"
"AON-09","1"
"AON-10","1"
"AON-11","1"
"AON-12","1"
"AON-13","1"
"AON-14","1"
"AON-15","1"
"AON-16","1"
"AON-17","1"
"AON-18","1"
"AON-19","1"
"AON-20","1"
"AON-21","1"
"AON-22","1"
"AON-24","1"
"AON-25","1"
"AOY-1","2"
"Apache Iron District","9"
"Apache Mine","5"
"Apex Mine","5"
"Apla Campolongo","1"
"Appalachian Basin","6"
"Appalachian Basin Coal Region","55"
"Applecross","3"
"Appleton","12"
"Apricke","30"
"aprox. 25 miles NE Aquia Creek","15"
"Apwa College","1"
"Aqua Vermelha","1"
"Aquamorte","5"
"Aquia type locality, Aquia Creek","128"
"Arakawa Mine","2"
"Aravaipa Dist.","1"
"Arba Minch","8"
"Arborlow","6"
"Arca facies type locality","1"
"Arcana Creek","2"
"Arch","1"
"Archer's Post","1"
"Archer Mine","1"
"Archers Post","1"
"Archusa type locality","1"
"Arco St. Stephens Quarry core","3"
"Arctic Ocean","148"
"Ardeth Lake","6"
"Ardley Cove","1"
"Area A, Locality 21","1"
"Arena Valley","17"
"Arenal","2"
"Arenal volcano","4"
"ARES07WT-043D","120"
"ARES07WT-044D","12"
"ARES07WT-051D","14"
"ARES07WT-052D","12"
"ARES07WT-053D","8"
"ARES07WT-055D","21"
"Argadells, Australia","9"
"Argana Basin","1"
"Argentine Base","10"
"Argo Glacier","277"
"Argus Range","6"
"ARGYLE","2"
"Arizona","7"
"Arizona Copper Co. Pit","1"
"Arkansas River Valley","1"
"Arlington Quarry","46"
"Arlington_KY","10"
"Armacolola Gap","1"
"Armando Cota Claim","1"
"Armatan","3"
"Armathwaite","1"
"Armer 1 Liddy","8"
"Arminius Mine","2"
"Armstrong Branch","15"
"Aron's Canyon","7"
"Arouca","1"
"Aroy","6"
"Aroy Island","1"
"Arr Colorado/Hilario","2"
"Arr Grande","11"
"Arr Guadalupe","1"
"Arr San Raymundo I","3"
"Arr San Raymundo II","3"
"Arr San Raymundo III","2"
"Arr. San Hilario Coqui","1"
"Arr. San Hilario ISSAC","3"
"Arran","18"
"Arranja Bridge, Ethiopia","2"
"Arriving to Crater Lake","2"
"Arrowhead","10"
"Arrowhead #1","2"
"Arrowhead Lake","1"
"Arrowhead Test Well","1"
"Arroyal De Bareiras","1"
"Arroyo Carrital","1"
"Arroyo Castillo","15"
"Arroyo Cieneguitas","7"
"Arroyo de Cal, Chiapas","2"
"Arroyo El Morral","2"
"Arroyo Mesquital","13"
"Arroyo Moba, Chiapas","5"
"Arroyo Picana","34"
"Arroyo San Gregorio","2"
"Arschitza","1"
"Art Johnson Mine","8"
"Arten","1"
"Artenberg Kinzigtal","1"
"Arthur Harbor","13"
"Artillery District","48"
"Artillery Peak","1"
"Arvin Quarry","4"
"Arzberg","1"
"Asamayama","2"
"Asbestos","1"
"Asbury Church","6"
"Asbury Park","3"
"Ascension Island","2"
"Ascent Glacier","29"
"Asceola Mine","1"
"asdfasdf","1"
"Aserte Bridge, Ethiopia","1"
"Ash Creek","3"
"Ash Mtn.","1"
"Ash Pit Road","1"
"Ashaway Village","7"
"Ashburton","1"
"Ashfaq Chowk","1"
"Ashio Mine","9"
"ashland emery & corundum mine","1"
"Ashland Mine","2"
"Ashland Oil & Refining Co. #1 Hudson","12"
"Ashton #1 core","13"
"Ashton, ID, USA","112"
"Asif Block","1"
"ask Jean about these","1"
"Askagen","4"
"Askja","2"
"Aslam Iqbal Park","1"
"Asosan","2"
"Assa","1"
"Asse","1"
"Asterby","1"
"Asterillo mine","2"
"Aston Branch","2"
"Aston Dingle","1"
"Aston Flamville","1"
"Astoria_Canyon","2"
"at Pine Landing","2"
"at Sampit River","1"
"at Troll station","3"
"Atacama Desert","136"
"Atacama Fault System","23"
"Atacocha Mine","4"
"Atahualpa Mine","1"
"Atalaya Claim","1"
"Atbara River, Atbara, Sudan","2"
"Atco well","5"
