"primary_location_name","count"
"Anahi Mine","3"
"Anaho Mine","1"
"Anak Krakatau","41"
"Anakies","1"
"Ananai Mine","3"
"Ananai Mine No. 5","1"
"Anatahan","4"
"Anchor Claim","1"
"Anchor Mine","7"
"Ancient Mine","3"
"Ancora Mine","1"
"Andacolla Mine","1"
"Andalusite Mine","3"
"Andean Paleolake","115"
"Anderson Crushed Stone Company Quarry","14"
"Anderson Island","3"
"Anderson Lake","2"
"Anderson Massif","7"
"Anderson Mine","26"
"Anderson Or Crowley Quarry","1"
"Anderson Quarry","5"
"Anderson Ridge","1"
"Anderson Summit","4"
"Anderws Feldspar Quarry","1"
"Andes","240"
"Andes Mts","39"
"Andes; Liquine-Ofqui Fault System","13"
"Andjireh Mine","1"
"Andover Mine","3"
"Andreas Mine","2"
"Andreasberg Mine","1"
"Andree Island","4"
"Andrew's Lake","1"
"Andrew Lake","2"
"Andrews Feldspar Quarry","2"
"Andrews Peaks","6"
"Andrews Quarry","8"
"Andros Island","4"
"Androscoggin Quarry","2"
"Androscogin Quarry","1"
"Andrus Lake","1"
"Andrus Mine","1"
"Andvord Bay","6"
"Anellie Mine","1"
"Angarf pegmatite, Nord I","1"
"Angel Janakiev mine","1"
"Angel Quarry","16"
"Angelo Mine","6"
"Angisorsuaq Island","1"
"Anglaise Stone Company Quarry","3"
"Angle Dam Volcanics","2"
"Anglesey","1"
"Anglo Saxon Mine No. 2","2"
"Anguilla Island","1"
"Angus Nunatak","1"
"Ani Mine","11"
"Ani Mine, Irodate Vein","1"
"Ani Mine, Kosawa Vein","1"
"Aniakchak","41"
"Animas","4"
"Animas Mine","27"
"Anishinabe Bog","2"
"Anita Mine","9"
"Anjaulat Workings","1"
"Anjos","2"
"Anka Lake","2"
"Ankadilava Mine","1"
"Anmatjira Range","8"
"Ann Eliza Mine","1"
"Ann Lake Pluton; Sierra Nevada Batholith","2"
"Ann Trevett Mine","1"
"Anna Beaver Mine","10"
"Anna Lee Mine","5"
"Anna Mine","6"
"Anna Mine ?","2"
"Annabel Lee Mine","4"
"Annaberg Mine","3"
"Anne Creek Mine","1"
"ANNECY","191"
"Annette Island","6"
"Annie Belcher Mine","1"
"Annie Claim","2"
"Annie Laurie Mine","1"
"Annie Martin Mine","1"
"Annie Mine","1"
"Annie Nutting Prospect","1"
"Anniversary Mine","15"
"Anoho Island","1"
"Anrep Zachaeus Mine","1"
"Ansbach Mine","4"
"Anse Belleville","2"
"Anselmo Mine","4"
"Anson Mine","1"
"Anson S Copper Mine","4"
"Anson S Mine","1"
"Ant Hill","6"
"Antarctic Peninsula","418"
"Antarctic Peninsula, Biscoe Islands","4"
"Antarctic Peninsula, Danco Coast","5"
"Antarctic Peninsula, Debenham Isle.","2"
"Antarctic Peninsula, Duroch Islands","2"
"Antarctica","11"
"Antarctica:AmundsenSea","1070"
"Antarctica:DrakePassage","927"
"Antarctica:LarsenIceShelf","1398"
"AntarcticPeninsula","709"
"Antas Tunnel","5"
"Antelope And Prince Of Wales Mine","2"
"Antelope Creek","1"
"Antelope Flat Terrace","1"
"Antelope Knoll","4"
"Antelope Mine","2"
"Antelope Springs","2"
"Anteojos","1"
"Anterior Lava Sheet","1"
"ANTERNE","227"
"Anthony Lake","1"
"Anthracite Coal Mine","1"
"Anthracite Creek Canyon","1"
"Anthracite Mesa","1"
"Anthracite Mine","2"
"Anthracite Range","1"
"Anthracite Region","1"
"Anthracite Seam","1"
"Antietam Sandstone","1"
"Antigua","6"
"Antigua Island","2"
"Antimony Claim No. 1","1"
"Antimony King Mg. Co.","1"
"Antimony King Mine","3"
"Antimony Mine","2"
"Antioch Mine","2"
"Antioquian Batholith","15"
"Antipodes Islands","11"
"Antler Lake","3"
"Antler Mine","2"
"Antochka Kimberlite","1"
"Antofogasta Mine","4"
"Antoine Butte","2"
"Antoinette Mine","1"
"Anton Mine","3"
"Antuco","4"
"Anunciacion","1"
"Anvers Island","25"
"Anvil Lake","15"
"Anxishuiku","2"
"Anza Rift","17"
"Aoga Rift","27"
"Aoga Saddle","2"
"Aohuqi","2"
"Aoni Yama","1"
"Aorere","1"
"Aouelloul Crater","38"
"Aouli Mines","1"
"Apache Mine","50"
"Apache Wash, S Plomosa Mountains","1"
"Apacheta Mine, Saavedra Claim","6"
"Apalachicola River","11"
"Aparima River","1"
"Apart from Road 502 at Malha Grande, near Casa da Queimada da Cima, lavaflow (1m thick) maybe 1761 lavaflow (Beta) ","2"
"Apastapeque","5"
"Apatite Mine","1"
"Apco Newbeau Pit","1"
"Apex Claim","4"
"Apex mine","1"
"Apex Mine","30"
"Aphrodite-Ouenghi Mine","1"
"Apliki Mine","2"
"Apox Mine","2"
"Apoyeque","8"
"Apoyo","5"
"App Mother Lode","1"
"Appalachain Basin","29"
"Appalachain Plateau Province","74"
"Appalachian Basin","39"
"Appalachian foreland basin","39"
"Appalachian Plateau Province","66"
"Appalachians","1"
"Appleman Lake","4"
"Approx. 90m SW of River Ribeira da Lana at Road Canada da Faja, small lavaflow pieces embedded in scoria cone","1"
"April Fool Mine","1"
"Aqaba","11"
"Aqua Fria","1"
"Aquadite Mine","1"
"Aquanico Mine","1"
"Aqui Mtns.","1"
"Aquia Creek Quarry","2"
"Arabian Peninsula","16"
"Arabian Sea","5"
"Arabian Shield","33"
"Araca Mine","3"
"Aragats","30"
"Arahura","1"
"Arakabesan Island","1"
"Arakawa Mine","9"
"Aramayo Mine","1"
"Aramayos Caracole Mine","1"
"Arandis Mine","1"
"Aranypeter Vein","1"
"Aranzazu","2"
"Ararat","1"
"Arassaui Mine","2"
"Arawhata","1"
"Arbor Mine","1"
"Arbuckle Mountain Pluton","1"
"Arcelia","1"
"Arch Island","3"
"Archambault Ridge","8"
"Arcos Kimberlite","1"
"Arctic","115"
"Arctic Coastal Plain, Barrow","30"
"Arctic Mine","1"
"Arctic Ocean","72"
"Arctic Red","10"
"Arctic Red River","18"
"Ardery Island","1"
"Aregentolle Mine","1"
"Arena Canyon","1"
"Arena Valley","34"
"Arenal","1420"
"Arenas Mine","6"
"Arenas Negras","1"
"Arendal Mine","4"
"Arestra Mine","2"
"Arfak Mountains","50"
"Arganglas metamorphics (In contact with Karakoram Batholith)","3"
"Arganglas Metamorphics (Karakoram Block)","5"
"Argent Lead & Silver Mine","2"
"Argent Lead and Silver Mine","2"
"Argenta Mine","4"
"Argentina Mine","3"
"Argentine Basin.","1"
"Argentine Mine","38"
"Argentine mines","1"
"Argentine precordillera","1"
"Argentine Tunnel Mine","1"
"Argentum Consolidated Mining Co.","1"
"Argo Glacier","6"
"Argo Mine","2"
"Argolite Co.","1"
"Argonaut Mine","1"
"Argonaut Seamount","6"
"Argosy Glacier","27"
"Arguello_Canyon","13"
"Argus-Sterling Mine","1"
"Argus Mine","1"
"Argus Range","3"
"Argyle","8"
"Argyle Diatreme","1"
"Argyle Lamproite Diatreme & Diamond Mine","3"
"Argyle Lamproite Diatreme And Diamond Mine","1"
"Argyle Mine","4"
"Argyll mine","3"
"Arhbar Mine","1"
"Ari Highlands","3"
"Ari Mine","2"
"Ariadne Mine","1"
"Aricaya Mine","7"
"Arickaree Mine","1"
"Arikaree River","3"
"Aris Quarries","1"
"Ariste Mine","2"
"Ariston Mine Level 16","1"
"Ariston Mine, Level 16","1"
"Arizona Central Mine","21"
"Arizona Claim","1"
"Arizona Lode","1"
"Arizona Mine","2"
"Arkansas Diamond Mine","3"
"Arkansas Mine","26"
"Arkansas Power And Light Company","3"
"Arkansas Quicksilver Mines Inc., Alluvial Wash Terrace","1"
"Arkansas River","4"
"Arkansas River Valley","1"
"Arkengarthdale Lead Mine","1"
"Arlington Quarry","8"
"Arlington Trap Rock Quarry","1"
"Arltunga Ruby Field","1"
"Arm Lake","1"
"Armannsfell","4"
"Armen Mine","2"
"Armenia Mine","1"
"Arminius Copper Mine","1"
"Arminius Mine","5"
"Arminius Pyrite Mine","2"
"Armistad Mine","2"
"Armitage Saddle","2"
"ARMOR","58"
"Armour Mine","2"
"Armour No. 1 Mine","1"
"Armstrong Mine","1"
"Armstrong pluton","6"
"Armutlu Peninsula","1"
"Arnarvatn Stora","1"
"Árnes","9"
"Arnie Mine","1"
"Arnold","1"
"Arnold Hill Mine","1"
"Arnold Mine","3"
"Arnold Talc Mine","1"
"Arnot Mine","2"
"Aro Island","3"
"Aroostook Limestone","1"
"Aroux Stock","2"
"Arqueros Mine","3"
"Arran Island","6"
"Arrepentimientos","2"
"Arrowhead","4"
"Arrowhead Mine","1"
"Arroyo De Liendres","4"
"Arroyo Mine","1"
"Arroyo Seco","1"
"Arsenic Mine","6"
"Arsenic Prospect","1"
"Arsia (Ice) Cave","2"
"Art Johnson Mine","1"
"Arthur Shore Prospect","1"
"Arthurs Lake","2"
"Artic Mine","1"
"Aruba Island","1"
"Arundel Quarry","1"
"Arusha National Park","12"
"ARVOIN","15"
"As You Like Lode","1"
"Asama","5"
"Asarco Mine","2"
"Asbestos mine","1"
"Asbestos Mine","8"
"Asbestos Mountain Fault","3"
"Ascensión","65"
"Ascension Island","46"
"Ascension Mine","6"
"Ascent Glacier","2"
"Ascutneyville Quarry","3"
"Asea","2"
"Ash Lake","4"
"Ashante Goldfields Corporation","1"
"Ashburton","1"
"Ashburton River","1"
"Ashenge","2"
"Ashio Mine","36"
"Ashir Mine","1"
"Ashland Pluton","5"
"Ashley","1"
"Ashley (replicate)","1"
"Ashley Falls Marble Co Quarry","1"
"Ashley Mine","1"
"Ashman And Glasgow Quarry","1"
"Ashton, ID, USA","99"
"Asio mine","1"
"Asio Mine","1"
"Askja","2"
"Asman Ridge","4"
"Aso","33"
"Asososca","3"
"Aspen Claim","1"
"Aspen Contact Mine","1"
"Aspen Mine","8"
"Aspen Mining District","45"
"Aspland Island","13"
"Aspy terrane","12"
"Asquith Bluff","5"
"Assiniboine","2"
"Astarte kloft","1"
"Asterillo Mine","9"
"Astoria Canyon North Rim","1"
"Astoria Dump","2"
"Astoria Dump Battery Tunnel","1"
"Astoria_Canyon","2"
"Astro Peak","48"
"Asturiana Mine","1"
