fullKey,locality_id,,,,,,
NULL79MineMineArizonaNULLNULL228CoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaNULLNULL228HaydenCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaNULLNULL228Hayden(Near)CoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79MineMineArizonaPinalCo.NULL228,96,,,,,,
NULL79MineMineArizonaPinalCo.NULL228HaydenCoordinatesfromMindatpageaboutthe79MineinArizona(http://www.mindat.org/loc-3322.html),96,,,,,,
NULL79minerMineArizonaNULLHayden228,96,,,,,,
8BallMineNULLNULLNewHampshireGraftonGrafton228,97,,,,,,
"NULL81MileVent(Ellendale5),UpperSillOfSillComplexNULLWesternAustraliaNULLEllendale13LocalityKey:WesternAustralia",98,,,,,,
"NULL81MileVent,CentralCoreOfVentNULLWesternAustraliaNULLEllendale13LocalityKey:WesternAustralia",98,,,,,,
"NULLBase-SurgeDeposit,EllendaleField81MileVentNULLWesternAustraliaNULLEllendale13LocalityKey:WesternAustralia",98,,,,,,
NULLNULLNULLNewMexicoSocorroCo.Magdalena228SummitOf8600-ftPeakSEndOfDist,99,,,,,,
LocationID:8CW;Site:1;Hole:A8thCrowWingLakelakeMinnesotaHubbardNULL228Platform:unknown;WaterDepth(m):7.64,100,,,,,,
NULL9NovemberMineMineOblastSmolyanNULLNULL33Madan,101,,,,,,
NULL90MineMineNewMexicoNULLMiningDistricts228LocalityKey:HanoverDistrict,103,,,,,,
NULLNULL90-E.Ridge.NULLNULLNULLNULL,104,,,,,,
91-AV-19/2-D11NorthPacificOceanOceanNULLNULLNULLNULL,105,,,,,,
91-AV-19/2-D7NorthPacificOceanOceanNULLNULLNULLNULL,106,,,,,,
91-MileCanyonGrandCanyonNULLArizonaNULLNULL228,107,,,,,,
AMineNULLNULLTransvaalWarmbathsWarmbaths200,110,,,,,,
NULLA.L.PittQuarryArvoniaMineVirginiaBuckinghamCo.NULL228,111,,,,,,
NULLALPittQuarryMineVirginiaBuckinghamCo.Arvonia228,111,,,,,,
NULLA.Y.AndMinnieMineMineColoradoLakeCo.NULL228Leadville,112,,,,,,
NULLA.Y.MineMineColoradoLakeCo.Leadville228,112,,,,,,
NULLAYAndMinnieMineMineColoradoLakeCo.Leadville228,112,,,,,,
NULLAYMineMineColoradoLakeCo.Leadville228,112,,,,,,
NULLA.A.BrownsClaimsMineNevadaNULLNULL228LocalityKey:IvanhoeSprings,113,,,,,,
NULLA.A.S.MineMineNULLNULLNULL163Christiansand,114,,,,,,
NULLA.A.-VihMineMineNULLNULLNULL74,115,,,,,,
NULLA.B.H.ConsolsMineMineNewSouthWalesNULLNULL13,116,,,,,,
A.C.PerhamQuarryNULLNULLMaineWestParisWestParis228,117,,,,,,
NULLA.E.BakersMineMineNewSouthWalesNULLNULL13Brisbane(160SwOf),118,,,,,,
NULLA.E.C.MineMineUtahEmeryCo.NULL228TempleMtn,119,,,,,,
NULLA.E.C.MineMineUtahNULLNULL228TempleMtn,119,,,,,,
NULLA.E.C.No.4MineMineNevadaEmeryCo.NULL228TempleMtn,120,,,,,,
"NULLA.G.GrayMineMineArkansasNULLNULL228LocalityKey:BatesvilleCoordinatesforA.G.GrayMine(DepositID:10187098)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",121,,,,,,
A.H.GeorgeNULLNULLIndianaFayetteNULL2282'fromtopofquarry,122,,,,,,
A.P.HillSchoolNULLNULLVirginiaPetersburg(city)NULL228,123,,,,,,
NULLA.R.BerryQuarryMineMaineNULLEastPoland228HardscrabbleRoad,124,,,,,,
"NULLA.R.ChinnMineMineArkansasNULLNULL228LocalityKey:BatesvilleCoordinatesforA.R.ChinnMine(DepositID:10162559)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstatewhenminenameswerestandardiz",125,,,,,,
