"15SMMC101SemisopochnoiIslandAlaskaNULLNULL228Tephra-rich gully on lower flank of Ragged Top, east of Fenner Creek. Near JL007, similar stratigraphy.Tephra-rich gully on lower flank of Ragged Top, east of Fenner Creek. Near JL007, similar stratigraphy",83330
15SMMC102SemisopochnoiIslandAlaskaNULLNULL228W flank of Sugarloaf,83330
"15TGEC001TanagaIslandAlaskaNULLNULL22820+ feet of section taken at knob of land NE of Tanaga volcano, by coast, ~1 mi W of Falls Pt. Just E of seismic ""cliff"" station.20+ feet of section taken at knob of land NE of Tanaga volcano, by coast, ~1mi W of Falls Pt. Just E of seismic ""cliff"" station",89602
15TGEC001TanagaIslandAlaskaNULLNULL228NULLNULL,89602
15TGEC002TanagaIslandAlaskaNULLNULL228Seismic hut just to the S of Tanaga @MC26. Spectacular - above the clouds - top of the world.Seismic hut just to the S of Tanaga @MC26. Spectacular - above the clouds - top of the world,89602
15TGEC003TanagaIslandAlaskaNULLNULL228Saddle just SE of Sajaka @MC39. Spectacular - above the clouds - top of the world.Saddle just SE of Sajaka @MC39. Spectacular - above the clouds - top of the world,89602
15TGEC004TanagaIslandAlaskaNULLNULL228Tangent PointTangent Point,89602
15TGKS001TanagaIslandAlaskaNULLNULL228Between Bumpy and Gauge pointsBetween Bumpy and Gauge points,89602
"15TGMC200TanagaIslandAlaskaNULLNULL228Basin below Tanaga/East Tanaga, near BB29. Near BB29.Basin below Tanaga/East Tanaga, near BB29. Near BB29",89602
"15TGMC202TanagaIslandAlaskaNULLNULL228Between Tanaga and Takawangha, south side valley. Near MC44.Between Tanaga and Takawangha, south side valley. Near MC44",89602
"15TGMC203TanagaIslandAlaskaNULLNULL228North coast, north flank of Takawangha. Near ""tephra hole"".North coast, north flank of Takawangha. Near ""tephra hole""",89602
15TGMC204TanagaIslandAlaskaNULLNULL228Flats south of Takawangha. Tephra gully extraordinaire.Flats south of Takawangha. Tephra gully extraordinaire,89602
"15TGMC205TanagaIslandAlaskaNULLNULL228Just west of Cable Bay, south of Takawangha. 50-m-long gently exposed bluff.Just west of Cable Bay, south of Takawangha. 50-m-long gently exposed bluff",89602
15TNDL001TanagaIslandAlaskaNULLNULL228Lava flow toeing out just below 15TGEC001Lava flow toeing out just below 15TGEC001,89602
