sample_type_id,sample_type_uri,label,description,parent_uri,parent_sample_type_id,scheme_uri,scheme_name
127,https://w3id.org/isample/earthenv/esmaterialsample/mineralspecimen,Mineral specimen,"a solid object consisting of one particular mineral, or several minerals intended to be representative of one or more of the mineral species.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
128,https://w3id.org/isample/vocabulary/materialsampleobjecttype/mountedspecimen,Mounted specimen,"one or more solid objects embedded in a stabilizing matrix, typically epoxy, metal, or paraffin to allow slicing through the mounted object(s).",https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
129,https://w3id.org/isample/earthenv/esmaterialsample/naturalaggregate,Natural aggregate specimen,Specimen is aggregate of non-consolidated material formed by natural processes. Particles have not been intentionally modified from the sampled feature.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
130,https://w3id.org/isample/vocabulary/materialsampleobjecttype/nonbiologicsolidobject,Non biologic solid object,"Individual solid object, the substance of which is not formed directly by or part of a living organism",https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample,152,,
131,https://w3id.org/isample/earthenv/esmaterialsample/nonmagneticfraction,Non-magnetic fraction,collection of particles from a crushed rock sample based on their lack of attraction to a magnet,https://w3id.org/isample/earthenv/esmaterialsample/mineralseparate,126,,
132,https://w3id.org/isample/vocabulary/materialsampleobjecttype/organismpart,Organism part,"Material sample that is part of an organism, e.g. a tissue sample, plant leaf, flower, bird feather. Include internal parts not composed of organic material (e.g. teeth, bone), and hard body parts that are not shed (hoof, horn, tusk, claw).  Hair is tricky, include here for now.  Does not necessarily imply existance of parent sample. Not fossilized; generally includes organism parts native to deposits of Holocene to Recent age.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/biologicalmaterialsample,105,,
133,https://w3id.org/isample/vocabulary/materialsampleobjecttype/organismproduct,Organism product,"Material sample is a thing produced by some organism, generally not composed of organic material or including biological tissue, e.g. Shell, antler, egg shell, coral skeleton (organic tissue not included), fecal matter, cocoon, web.  Consider internal parts not composed of organic material (e.g. teeth, bone) and hard body parts that are not shed (hoof, horn, tusk) to be organism parts.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/biologicalmaterialsample,105,,
134,https://w3id.org/isample/vocabulary/materialsampleobjecttype/othersolidobject,Other solid object,A non-biologic solid object that is not one of the other types.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/nonbiologicsolidobject,130,,
135,https://w3id.org/isample/vocabulary/materialsampleobjecttype/particle,Particle,A small individual solid object that is not one of the other sample types.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
136,https://w3id.org/isample/earthenv/esmaterialsample/peel,Peel,"Acetate peels are made by polishing a planar surface on a sample, etching it with acid to give it some relief, and then chemically melting a piece of acetate onto that surface. The acetate is then pulled off for examination under a microscope. The acetate preserves a fingerprint of the internal structure of the sample surface. Used in paleontology to study complex fossils, e.g. bryozoan.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
